,station,latitude,longitude,last,predicted
0,hamovniki,55.718774,37.570271,19,29
1,mkad-52-km-zapad,55.703489,37.397577,24,26
2,ostankino,55.821154,37.612592,13,22
3,ochakovskaya,55.693546,37.455579,9,22
4,veshnyaki,55.719959,37.795549,7,14
5,vernad,55.658163,37.471434,9,23
6,spirid,55.759354,37.595584,11,25
7,koptevo,55.833222,37.525158,13,22
8,marin,55.652695,37.751502,4,12
9,parkovaya,55.804364,37.839048,21,30
10,mgu,55.707241,37.52241,9,23
11,zhulebino,55.688043,37.863004,7,15
12,shabol,55.715698,37.6052377,5,17
13,cheremushki,55.680056,37.584782,5,12
14,glebovskaya,55.811801,37.71249,10,26
15,dolgoprud,55.894383,37.536881,13,25
16,turist,55.856324,37.426628,11,21
