date, pm25, pm10, o3, no2, so2, co
2023/12/1, 31, 13, 4, 14, 1, 2
2023/12/2, 46, 12, 6, 12, 1, 2
2023/12/3, 39, 9, 5, 8, , 2
2023/12/4, 33, 8, 5, 11, , 3
2023/12/5, 31, 6, 1, 10, 1, 2
2023/12/6, 25, , 1, 14, , 2
2023/12/12, 18, 32, , 9, , 
2023/12/13, 44, 52, , 10, , 1
2023/12/14, 59, 36, , 12, , 1
2023/12/15, 58, 13, , 8, , 2
2023/12/16, 29, 3, 22, 6, , 1
2023/12/17, 7, 4, 21, 7, , 1
2023/12/18, 9, 1, 12, 5, , 
2023/12/19, 5, , , , , 
2023/11/2, 10, 11, , 6, , 1
2023/11/3, 19, 12, 7, 7, , 1
2023/11/4, 20, 15, 8, 5, , 1
2023/11/5, 29, 5, , 6, , 1
2023/11/6, 14, 5, 10, 5, , 1
2023/11/7, 10, 11, 11, 6, , 1
2023/11/8, 16, 21, 6, 11, , 1
2023/11/9, 26, 13, 7, 8, , 1
2023/11/10, 19, 13, 15, 6, , 1
2023/11/11, 25, 6, 14, 7, , 1
2023/11/12, 13, 1, 11, 2, , 2
2023/11/13, 5, , 13, , , 
2023/11/15, 26, 11, 8, 8, , 1
2023/11/16, 21, 6, 16, 9, , 1
2023/11/17, 11, 19, 9, 18, , 1
2023/11/18, 29, 17, 1, 18, , 2
2023/11/19, 39, 16, 7, 14, , 2
2023/11/20, 33, 10, 8, 10, , 1
2023/11/21, 19, 7, , 11, , 1
2023/11/22, 17, 4, 16, 5, , 
2023/11/23, 5, 15, 7, 5, , 1
2023/11/24, 36, 16, 1, 4, 1, 2
2023/11/25, 49, , 2, , 1, 
2023/11/27, 20, 7, 9, 5, , 1
2023/11/28, 21, 11, 12, 12, 1, 1
2023/11/29, 30, 5, 11, 8, , 
2023/11/30, 18, 9, 16, 9, , 2
2023/10/1, 28, 8, 9, 7, , 3
2023/10/2, 11, 8, 19, 5, , 1
2023/10/3, 9, 17, 24, 3, , 
2023/10/4, 26, 7, 14, 6, , 2
2023/10/5, 10, 6, 15, 4, , 1
2023/10/6, 11, 2, 18, 2, , 1
2023/10/7, 5, 6, 18, 2, , 1
2023/10/8, 13, 3, 10, 3, , 1
2023/10/9, 8, 4, 9, 5, , 1
2023/10/10, 12, 6, 19, 6, , 1
2023/10/11, 17, 9, 21, 4, , 1
2023/10/12, 21, 9, 21, 5, , 2
2023/10/13, 11, 8, 22, 5, , 1
2023/10/14, 16, 9, 22, 5, , 2
2023/10/15, 21, 7, , 9, , 2
2023/10/16, 12, 4, , 6, , 2
2023/10/17, 8, 4, , 5, , 1
2023/10/18, 9, 4, , 7, , 1
2023/10/19, 12, 7, , 9, , 2
2023/10/20, 20, 11, , 7, , 2
2023/10/21, 19, 15, , 8, , 2
2023/10/22, 33, 8, , 6, , 3
2023/10/23, 22, 7, , 6, , 2
2023/10/24, 20, 11, , 8, , 2
2023/10/25, 19, 13, , 5, , 1
2023/10/26, 19, 7, , 7, , 1
2023/10/27, 17, 6, , 4, , 1
2023/10/28, 20, 4, , 4, , 1
2023/10/29, 17, 5, , 7, , 1
2023/10/30, 17, 8, , 4, , 
2023/10/31, 24, , , , , 
2023/7/1, 21, 11, 28, 7, , 2
2023/7/2, 24, 15, 31, 16, , 2
2023/7/3, 29, 15, 41, 37, , 2
2023/7/4, 31, 17, 36, 39, , 2
2023/7/5, 37, 19, 42, , , 2
2023/7/6, 41, 19, 25, , , 2
2023/7/7, 42, 11, 26, , , 2
2023/7/8, 23, 12, 30, , , 6
2023/7/9, 23, 9, 15, , , 1
2023/7/10, 11, 7, 12, , , 1
2023/7/11, 9, 7, 15, , , 
2023/7/12, 10, 8, 9, , , 2
2023/7/13, 17, 10, 12, , , 2
2023/7/14, 19, 8, 15, , , 2
2023/7/15, 18, 10, 22, , , 1
2023/7/16, 22, 18, 32, , , 3
2023/7/17, 38, 17, 28, , , 3
2023/7/18, 37, 7, 21, 6, , 
2023/7/19, 9, 7, 19, 5, , 2
2023/7/20, 12, 8, 23, 10, , 1
2023/7/21, 14, 8, 25, 6, , 1
2023/7/22, 13, 8, 24, 10, , 2
2023/7/23, 19, 7, 17, 10, , 2
2023/7/24, 16, 14, 28, 11, , 3
2023/7/25, 32, 15, 19, 11, , 
2023/7/26, 40, 13, 26, 11, , 
2023/7/27, 27, 11, 18, 11, , 
2023/7/28, 34, 6, 11, 11, , 1
2023/7/29, 15, 16, 27, 12, , 1
2023/7/30, 35, , 24, , , 1
2023/8/1, 32, 23, 27, 14, , 3
2023/8/2, 48, 22, 37, 14, , 2
2023/8/3, 45, 23, 36, 17, , 1
2023/8/4, 56, , 46, , , 1
2023/8/7, 21, 18, 20, 8, , 1
2023/8/8, 35, 9, 24, 5, , 1
2023/8/9, 13, 13, , 8, , 
