date, pm25, pm10, o3, no2, so2, co
2023/12/1, 48, 20, , 21, , 2
2023/12/2, 68, 12, , 20, , 2
2023/12/4, 50, 11, , 18, , 
2023/12/5, 46, 21, , 23, , 
2023/12/6, 66, 16, , 21, , 
2023/12/7, 56, 13, , 16, , 
2023/12/8, 50, 14, , 15, , 
2023/12/9, 53, 16, , 16, , 
2023/12/10, 50, , , , , 
2023/12/13, 57, 56, , 19, , 
2023/12/14, 68, 46, , 19, , 
2023/12/15, 60, 19, , 13, , 
2023/12/17, 16, 9, , 17, , 
2023/12/18, 21, 3, , 12, , 
2023/12/19, 13, , , , , 
2023/11/1, 54, , , 12, , 2
2023/11/2, 28, , , , , 
2023/11/3, 36, , , , , 
2023/11/4, 44, , , , , 
2023/11/5, 43, 11, , 14, , 1
2023/11/6, 28, 10, , 12, , 2
2023/11/7, 25, 12, , 9, , 1
2023/11/8, 31, 30, , 18, , 2
2023/11/9, 48, 23, , 14, , 1
2023/11/10, 36, 23, , 11, , 1
2023/11/11, 42, , , , , 
2023/11/12, 30, , , , , 
2023/11/13, 18, , , , , 
2023/11/14, 18, , , , , 
2023/11/15, 37, , , , , 
2023/11/16, 26, 26, , 19, 1, 1
2023/11/17, 18, 48, , 25, 1, 4
2023/11/18, 63, 40, , 27, 1, 3
2023/11/19, 62, 25, , 19, , 3
2023/11/20, 45, 22, , 13, , 1
2023/11/21, 31, 13, , 15, , 1
2023/11/23, 13, 20, , 20, , 2
2023/11/24, 51, 16, , 16, , 2
2023/11/25, 58, 10, , 14, , 1
2023/11/26, 51, 10, , 14, , 1
2023/11/27, 26, 11, , 11, , 1
2023/11/28, 35, 12, , 17, , 1
2023/11/29, 40, 9, , 14, , 1
2023/11/30, 30, 14, , 16, , 1
2023/10/17, 21, , , , , 1
2023/10/18, 24, , , , , 2
2023/10/19, 37, , , , , 1
2023/10/20, 34, , , , , 2
2023/10/21, 35, 28, , 16, , 4
2023/10/22, 57, 12, , 10, , 2
2023/10/23, 36, 12, , 10, , 1
2023/10/24, 33, 18, , 12, , 1
2023/10/25, 26, 19, , 11, , 
2023/10/26, 30, 11, , 12, , 1
2023/10/27, 27, , , 11, , 2
2023/10/28, 29, , , 8, 1, 
2023/10/29, 34, , , 14, , 2
2023/10/30, 36, , , 18, , 2
2023/10/31, 50, , , 15, , 2
2023/7/1, 39, 20, , 9, , 1
2023/7/2, 37, 25, , 17, , 1
2023/7/3, 47, 26, , 15, , 1
2023/7/4, 71, 34, , 22, , 2
2023/7/5, 74, 31, , 19, , 2
2023/7/6, 64, 30, , 19, , 1
2023/7/7, 56, 25, , 15, , 2
2023/7/8, 45, 53, , 16, , 3
2023/7/9, 42, 28, , 7, , 1
2023/7/10, 26, 20, , 8, , 1
2023/7/11, 20, 13, , 10, , 
2023/7/12, 25, 12, , 15, , 1
2023/7/13, 31, 18, , 12, , 2
2023/7/14, 31, 17, , 11, , 1
2023/7/15, 33, 25, , 10, , 1
2023/7/16, 41, 37, , 16, 1, 5
2023/7/17, 54, 32, , 26, , 4
2023/7/18, 58, 9, , 11, , 2
2023/7/19, 18, 13, , 14, , 1
2023/7/21, 35, 15, , 12, , 3
2023/7/22, 26, 20, , 15, , 2
2023/7/23, 41, 13, , 13, , 2
2023/7/24, 29, 18, , 15, , 2
2023/7/25, 42, 24, , 20, , 4
2023/7/26, 55, 20, , 13, , 2
2023/7/27, 36, 26, , 23, , 4
2023/7/30, 37, 34, , 18, , 5
2023/7/31, 40, 39, , 23, , 5
2023/8/1, 55, 34, , 22, , 5
2023/8/2, 57, 37, , 26, , 3
2023/8/3, 60, 53, , 41, , 7
2023/8/4, 55, 28, , 16, 1, 4
2023/8/5, 44, 44, , 26, 1, 3
2023/8/6, 61, 33, , 13, , 2
2023/8/7, 39, 30, , 17, , 2
2023/8/8, 40, 23, , 13, , 3
2023/8/9, 28, 19, , 12, 1, 1
2023/8/10, 30, , , , , 
2023/8/12, 50, 20, , 15, , 2
2023/8/13, 30, 14, , 13, 1, 1
2023/8/14, 38, 33, , 16, 1, 3
2023/8/15, 38, 43, , 18, 1, 4
2023/8/16, 45, 67, , 22, 4, 8
2023/8/17, 73, 61, , 32, 2, 6
2023/8/18, 71, 30, , 16, , 3
2023/8/19, 51, 34, , 16, , 2
2023/8/20, 46, 23, , 13, , 3
2023/8/21, 21, 42, , 24, 1, 5
2023/8/22, 58, 26, , 21, 1, 5
2023/8/23, 37, , , , , 
2023/8/24, 25, , , , , 
2023/8/25, 44, , , , , 
2023/8/26, 66, 50, , 18, , 3
2023/8/27, 35, 35, , 15, , 3
2023/8/28, 46, 37, , 23, , 2
2023/8/29, 48, 19, , 11, , 2
2023/8/30, 29, , , , , 
2023/4/1, 46, 28, , 23, , 2
2023/4/2, 53, 34, , 33, , 3
2023/4/3, 59, 27, , 26, , 3
