date, pm25, pm10, o3, no2, so2, co
2023/12/1, 56, 27, , 24, , 2
2023/12/2, 75, 17, , 20, , 2
2023/12/3, 59, 13, , 15, , 3
2023/12/4, 50, 17, , 20, , 4
2023/12/5, 60, 22, , 23, , 3
2023/12/6, 70, 18, , 20, , 3
2023/12/7, 63, 15, , 14, , 1
2023/12/8, 58, 17, , 14, , 1
2023/12/9, 62, 15, , 15, , 1
2023/12/10, 55, 10, , 18, 1, 1
2023/12/11, 39, 7, , 13, , 1
2023/12/12, 23, 20, , 13, 4, 1
2023/12/13, 53, 37, , 15, 2, 1
2023/12/14, 83, 25, , 10, , 
2023/12/15, 65, , , , , 
2023/12/17, 24, 5, , 14, , 1
2023/12/18, 18, 2, , 13, , 1
2023/12/19, 10, , , , , 
2023/11/1, 62, 21, , 17, , 1
2023/11/2, 59, 31, , 21, 1, 2
2023/11/3, 60, 18, , 13, 4, 1
2023/11/4, 57, 19, , 10, 1, 1
2023/11/5, 56, 9, , 14, , 1
2023/11/6, 33, 6, , 13, , 1
2023/11/7, 19, 17, , 13, , 2
2023/11/8, 36, 18, , 17, , 3
2023/11/9, 50, 15, , 15, , 2
2023/11/10, 45, 26, , 16, , 2
2023/11/11, 60, 11, , 8, , 1
2023/11/12, 39, 3, , 14, , 1
2023/11/13, 13, 3, , 13, , 1
2023/11/14, 11, 14, , 18, , 2
2023/11/15, 45, 10, , 11, , 3
2023/11/16, 35, 7, , 11, , 1
2023/11/17, 14, 30, , 25, 1, 3
2023/11/18, 51, 37, , 26, 1, 4
2023/11/19, 81, 21, , 16, 1, 2
2023/11/20, 60, 13, , 13, 1, 1
2023/11/21, 33, 7, , 12, , 3
2023/11/22, 24, 9, , 16, , 2
2023/11/23, 24, 18, , 19, 1, 2
2023/11/24, 62, 24, , 19, 1, 2
2023/11/25, 72, 21, , 21, 1, 3
2023/11/26, 69, , , , 1, 
2023/11/28, 36, 13, , 16, 1, 3
2023/11/29, 50, 8, , 13, , 2
2023/11/30, 34, 16, , 18, , 1
2023/10/1, 44, 15, , 14, , 4
2023/10/2, 26, 15, , 12, , 1
2023/10/3, 21, 28, , 11, , 1
2023/10/4, 38, 14, , 19, , 2
2023/10/5, 28, 8, , 12, , 3
2023/10/6, 23, 4, , 14, , 2
2023/10/7, 15, 1, , 5, , 1
2023/10/8, 6, 3, , 10, , 1
2023/10/9, 9, 5, , 11, , 1
2023/10/10, 17, 12, , 15, , 1
2023/10/11, 24, 10, , 13, , 1
2023/10/12, 33, 13, , 10, , 2
2023/10/13, 15, 13, , 18, , 1
2023/10/14, 33, 9, , 16, , 2
2023/10/15, 28, 8, , 18, , 2
2023/10/16, 26, 3, , 10, , 2
2023/10/17, 12, 7, , 12, , 2
2023/10/18, 16, 11, , 18, , 2
2023/10/19, 39, 11, , 12, , 
2023/10/20, 45, 9, , 8, , 
2023/10/21, 29, 24, , 16, , 
2023/10/22, 67, 12, , 10, , 
2023/10/23, 43, 7, , 9, , 
2023/10/24, 27, 8, , 7, , 2
2023/10/25, 19, 12, , 9, , 1
2023/10/26, 22, 11, , 10, , 2
2023/10/27, 35, 8, , 10, , 1
2023/10/28, 32, 7, , 9, , 2
2023/10/29, 29, 13, , 15, , 4
2023/10/30, 46, 16, , 18, , 3
2023/10/31, 49, 31, , 21, , 2
2023/7/1, 50, 24, , 11, , 1
2023/7/2, 42, 38, , 20, , 3
2023/7/3, 40, 34, , 19, , 1
