date, pm25, pm10, o3, no2, so2, co
2023/11/1, 22, 12, , , , 
2023/11/2, 29, 10, , , , 
2023/11/3, 19, 7, , , , 
2023/11/4, 15, 7, , , , 
2023/11/5, 13, 7, , , , 
2023/11/6, 16, 7, , , , 
2023/11/7, 17, , , , , 
2023/10/1, 22, 10, , 14, , 
2023/10/2, 15, 9, , 11, , 
2023/10/3, 13, 17, , 8, , 
2023/10/4, 26, 9, , 13, , 
2023/10/5, 13, 8, , 11, , 
2023/10/6, 14, 4, , 12, , 
2023/10/7, 10, 6, , 4, , 
2023/10/8, 13, 7, , 8, , 
2023/10/9, 17, 8, , 10, , 
2023/10/10, 17, 8, , 12, , 
2023/10/11, 13, 9, , 8, , 
2023/10/12, 19, 10, , 9, , 
2023/10/13, 20, 9, , 14, , 
2023/10/14, 16, 9, , 12, , 
2023/10/15, 20, 8, , 17, , 
2023/10/16, 14, , , , , 
2023/10/18, 12, 9, , , , 
2023/10/19, 20, 10, , , , 
2023/10/20, 20, 10, , , , 
2023/10/21, 21, 12, , , 1, 
2023/10/22, 18, 5, , , , 
2023/10/23, 10, 10, , , 1, 
2023/10/24, 24, 10, , , 2, 
2023/10/25, 16, 11, , , 2, 
2023/10/26, 16, 7, , , , 
2023/10/27, 13, 6, , , , 
2023/10/28, 11, 8, , , , 
2023/10/29, 21, 9, , , , 1
2023/10/30, 21, 11, , , , 1
2023/10/31, 27, 13, , , , 1
2023/7/1, 34, 26, , 10, 1, 1
2023/7/2, 33, 43, , 13, 1, 1
2023/7/3, 49, 37, , 17, 1, 1
2023/7/4, 55, 46, , 20, 1, 1
2023/7/5, 61, 44, , 19, 1, 2
2023/7/6, 61, 41, , 19, 1, 2
2023/7/7, 58, 49, , 16, 1, 2
2023/7/8, 48, 88, , 15, 1, 2
2023/7/9, 45, 35, , 9, 1, 
2023/7/10, 34, 20, , 9, 1, 
2023/7/11, 29, 19, , 11, 1, 
2023/7/12, 31, 18, , 15, 1, 1
2023/7/13, 38, 24, , 14, 1, 1
2023/7/14, 41, 21, , 13, 1, 1
2023/7/15, 39, 27, , 13, 1, 1
2023/7/16, 46, 48, , 19, 1, 2
2023/7/17, 56, 43, , 23, 1, 3
2023/7/18, 56, 10, , 7, , 1
2023/7/19, 24, 12, 19, 9, 1, 1
2023/7/20, 32, 16, 22, 16, 1, 1
2023/7/21, 38, 14, 24, 12, 1, 
2023/7/22, 36, 17, 21, 15, 1, 1
2023/7/23, 44, 13, 11, 15, 1, 1
2023/7/24, 39, 21, 23, 17, , 2
2023/7/25, 55, 22, 24, 16, 1, 2
2023/7/26, 58, 18, 23, 15, 1, 2
2023/7/27, 48, 18, , 18, 1, 3
2023/7/28, 49, 11, , 14, , 1
2023/7/29, 34, 21, , 17, , 3
2023/7/30, 54, , , , , 
2023/8/1, 52, 32, , 23, 1, 3
