date, pm25, pm10, o3, no2, so2, co
2023/12/1, 56, 15, , 29, , 5
2023/12/2, 67, 9, , 26, , 3
2023/12/3, 53, 9, , 20, , 4
2023/12/4, 50, 9, , 23, , 4
2023/12/5, 51, 20, , 30, , 7
2023/12/6, 67, 14, , 27, , 4
2023/12/7, 61, 11, , 23, , 3
2023/12/8, 55, 11, , 22, , 2
2023/12/9, 55, 9, , 24, , 4
2023/12/10, 54, 7, , 22, , 3
2023/12/11, 42, 7, , 21, , 2
2023/12/12, 39, 32, , 25, , 3
2023/12/13, 77, 50, , 22, , 3
2023/12/14, 89, 35, , 22, , 2
2023/12/15, 79, 13, , 17, , 3
2023/12/16, 45, 3, , 19, , 2
2023/12/17, 26, 5, , 24, , 2
2023/12/18, 31, 2, , 19, , 1
2023/12/19, 19, , , , , 
2023/11/1, 70, 7, , 17, , 3
2023/11/2, 31, 12, 4, 18, , 4
2023/11/3, 42, 15, 4, 16, , 2
2023/11/4, 47, 16, 5, 16, , 2
2023/11/5, 54, 6, 7, 19, , 3
2023/11/6, 37, 7, 8, 17, , 2
2023/11/7, 31, 13, 5, 18, , 3
2023/11/8, 44, 25, 4, 21, , 5
2023/11/9, 56, 15, 2, 19, , 2
2023/11/10, 49, 17, 10, 21, , 5
2023/11/11, 55, 7, 10, 15, 2, 2
2023/11/12, 32, 5, 7, 12, , 2
2023/11/13, 23, 4, 9, 17, , 2
2023/11/14, 27, 16, 3, 21, , 4
2023/11/15, 47, 12, , 15, , 2
2023/11/16, 42, 8, 15, , , 2
2023/11/17, 38, 21, 9, , , 4
2023/11/18, 58, 20, 2, , , 6
2023/11/19, 66, 14, 8, , 2, 3
2023/11/20, 51, 10, 11, , , 1
2023/11/21, 37, 6, , , , 2
2023/11/22, 32, 3, , , , 4
2023/11/23, 20, 12, , , , 4
2023/11/24, 53, 14, , , , 2
2023/11/25, 60, 5, , , , 
2023/11/28, 50, 10, , , , 2
2023/11/29, 47, 6, , 26, , 4
2023/11/30, 42, 10, , 27, , 5
2023/10/1, 49, 12, 2, 20, , 1
