date, pm25, pm10, o3, no2, co
2023/12/1, 49, , , 23, 2
2023/12/2, 63, , , 20, 1
2023/12/3, 44, , , 14, 
2023/12/4, 49, , , 17, 2
2023/12/5, 48, , , 23, 5
2023/12/6, 65, , , 22, 2
2023/12/7, 58, , , 17, 1
2023/12/8, 51, , , 16, 3
2023/12/9, 54, 13, , 15, 1
2023/12/10, 52, 13, , 17, 1
2023/12/11, 37, , , 14, 2
2023/12/12, 29, 41, , 14, 1
2023/12/13, 51, 51, , 16, 2
2023/12/14, 68, 40, , 18, 2
2023/12/15, 67, 23, , 15, 2
2023/12/16, 51, , , 10, 1
2023/12/17, 20, , , 15, 1
2023/12/18, 27, , , 11, 1
2023/12/19, 13, , , , 
2023/11/1, 56, , , 10, 1
2023/11/2, 30, , , 13, 
2023/11/3, 33, , , 15, 
2023/11/4, 38, , , 10, 2
2023/11/5, 38, , , 13, 1
2023/11/6, 31, , , 10, 2
2023/11/7, 31, , , 9, 
2023/11/8, 33, , , 18, 2
2023/11/9, 43, , , 13, 2
2023/11/10, 37, , , 14, 2
2023/11/11, 45, 8, , 9, 1
2023/11/12, 27, 6, , 8, 1
2023/11/13, 19, 6, , 10, 1
2023/11/14, 19, 21, , 17, 2
2023/11/15, 37, 12, , 11, 2
2023/11/16, 30, 7, , 7, 1
2023/11/17, 23, , , 26, 3
2023/11/18, 52, , , 28, 4
2023/11/19, 60, , , 18, 2
2023/11/20, 47, , , 9, 2
2023/11/21, 31, , , , 
2023/11/23, 14, , , 20, 2
2023/11/24, 50, , , 18, 3
2023/11/25, 61, , , 19, 2
2023/11/26, 52, , , 14, 2
2023/11/27, 27, , , 12, 1
2023/11/28, 37, , , 16, 1
2023/11/29, 40, , , 13, 1
2023/11/30, 33, , , 16, 2
2023/10/1, 46, , , 11, 2
2023/10/2, 32, , , 8, 1
2023/10/3, 25, , , , 1
2023/10/4, 45, , , , 1
2023/10/5, 33, , , , 1
2023/10/6, 27, , , , 1
2023/10/7, 13, , , , 2
2023/10/8, 15, , , , 1
2023/10/9, 22, 13, , , 2
2023/10/10, 25, 11, , , 1
2023/10/11, 24, 15, , , 1
2023/10/12, 39, 10, , , 2
2023/10/13, 32, 15, , , 1
2023/10/14, 37, 13, , , 1
2023/10/15, 33, 12, , , 2
2023/10/16, 30, 7, , , 1
2023/10/17, 22, 8, , , 1
2023/10/18, 34, 8, , , 4
2023/10/19, 41, , , , 1
2023/10/20, 33, , , , 2
2023/10/21, 35, , , , 4
2023/10/22, 50, , , , 3
2023/10/23, 38, , , , 2
2023/10/24, 32, 12, , 13, 1
2023/10/25, 30, , , 9, 
2023/10/26, 30, , , 13, 1
2023/10/27, 28, , , 11, 2
2023/10/28, 29, , , 7, 2
2023/10/29, 33, , , 14, 3
2023/10/30, 36, , , 16, 4
2023/10/31, 46, , , 17, 1
2023/7/1, 44, 15, , 6, 1
2023/7/2, 45, 22, , 10, 3
2023/7/3, 48, 24, , 12, 1
2023/7/4, 51, 32, , 26, 2
2023/7/5, 60, 25, , , 
2023/7/6, 59, 27, , , 2
2023/7/7, 57, 14, , , 1
2023/7/8, 41, 17, , , 3
2023/7/9, 47, 11, , , 1
2023/7/10, 26, 9, , , 1
2023/7/11, 23, 10, , , 1
2023/7/12, 27, 11, , , 1
2023/7/13, 40, 13, , , 2
2023/7/14, 36, 12, , , 1
2023/7/15, 37, 17, , , 1
2023/7/16, 45, 28, , , 4
2023/7/17, 60, 28, , , 4
2023/7/18, 58, 2, , , 1
2023/7/19, 23, , , , 1
2023/7/20, 34, 14, , , 1
2023/7/21, 40, 13, , , 1
2023/7/22, 34, 17, , , 9
2023/7/23, 56, 13, , 12, 2
2023/7/24, 42, 18, , 11, 3
2023/7/25, 47, 23, , 15, 2
2023/7/26, 59, 14, , 10, 1
2023/7/27, 43, , , 14, 2
2023/7/28, 48, , , 10, 2
2023/7/29, 32, , , 9, 9
2023/7/30, 69, , , 13, 2
2023/7/31, 48, , , 18, 6
2023/8/1, 60, 24, , 26, 4
2023/8/2, 62, 30, , 19, 4
2023/8/3, 62, 31, , 15, 4
2023/8/4, 62, 27, , 16, 3
2023/8/5, 56, 33, , 20, 3
2023/8/6, 63, 19, , 10, 1
2023/8/7, 41, 23, , 13, 2
2023/8/8, 45, 15, , 9, 1
2023/8/9, 35, 17, , , 
2023/8/12, 57, , , 11, 1
2023/8/13, 39, , , 9, 2
2023/8/14, 35, , , 13, 3
2023/8/15, 44, 20, , 16, 3
2023/8/16, 47, 27, , 18, 7
2023/8/17, 66, 36, , 29, 6
2023/8/18, 77, 19, , 14, 2
2023/8/19, 57, 17, , 12, 2
2023/8/20, 50, 12, , 7, 2
2023/8/21, 28, 33, , 22, 6
2023/8/22, 58, , , 15, 2
2023/8/23, 40, , , 10, 1
2023/8/24, 29, , , 14, 4
2023/8/25, 47, , , 18, 7
2023/8/26, 62, , , 9, 1
2023/8/27, 37, , , 13, 4
2023/8/28, 45, , , 20, 2
2023/8/29, 50, , , 13, 2
2023/8/30, 33, , , 24, 3
2023/8/31, 60, , , 25, 3
2023/9/1, 62, , , 29, 4
2023/9/2, 79, , , 15, 5
2023/9/3, 38, , , 16, 6
2023/9/4, 56, , , 17, 4
2023/9/5, 38, , , 9, 1
2023/9/6, 32, , , 8, 1
2023/9/7, 32, 9, , 9, 1
2023/9/8, 37, 12, , 6, 1
2023/9/9, 35, 17, , 14, 4
2023/9/10, 61, 35, , 21, 7
2023/9/11, 78, 30, , 21, 4
2023/9/12, 71, 30, , 21, 7
2023/9/13, 66, 33, , 21, 6
2023/9/14, 61, , , 19, 5
2023/9/15, 62, , , 10, 5
2023/9/16, 35, , , 15, 7
2023/9/17, 54, , , 15, 8
2023/9/18, 57, , , 23, 6
2023/9/19, 68, , , 11, 1
2023/9/20, 59, , , 14, 2
2023/9/21, 57, , , 20, 6
2023/9/22, 67, , , 24, 4
2023/9/23, 56, , , 15, 2
2023/9/24, 57, , , 11, 2
2023/9/25, 39, , , 17, 12
2023/9/26, 70, , , 21, 9
2023/9/27, 67, , , 18, 4
2023/9/28, 56, , , 22, 4
2023/9/29, 62, , , 18, 3
2023/9/30, 64, , , 7, 1
2023/4/1, 47, , , 18, 2
2023/4/2, 53, , , 30, 2
2023/4/3, 63, , , 24, 3
2023/4/4, 56, , , 14, 2
2023/4/5, 50, , , 11, 
2023/4/6, 38, , , 13, 1
2023/4/7, 29, , , 27, 
2023/4/8, 43, , , 33, 6
2023/4/9, 78, , , 30, 3
2023/4/10, 72, , , 36, 5
2023/4/11, 81, , , 37, 5
2023/4/12, 89, , , 24, 3
2023/4/13, 61, , , 7, 
2023/4/14, 26, , , 10, 
2023/4/15, 32, , , 21, 1
2023/4/16, 58, , , 24, 1
2023/4/17, 74, , , 34, 
2023/4/18, 78, , , 16, 
2023/4/19, 56, , , 25, 
