date, pm25, pm10, o3, no2, so2, co
2023/7/1, 57, 18, , 11, , 1
2023/7/2, 54, 27, , 16, 1, 2
2023/7/3, 59, 29, , 20, , 1
2023/7/4, 64, 39, , 24, , 3
2023/7/5, 68, 35, , 20, , 2
2023/7/6, 68, 33, , 21, 1, 2
2023/7/7, 83, 17, , 16, , 3
2023/7/8, 65, 25, , 15, , 5
2023/7/9, 51, 16, , 7, , 2
2023/7/10, 32, 11, , 8, , 
2023/7/11, 24, 13, , 11, , 
2023/7/12, 31, 16, , 17, , 1
2023/7/13, 25, 15, , 15, , 
2023/4/1, 60, 28, 21, 14, , 1
2023/4/2, 63, 47, 18, 29, 3, 2
2023/4/3, 74, 35, 18, 25, 1, 2
2023/4/4, 68, 42, 17, 19, 1, 3
2023/4/5, 63, 26, 30, 9, 1, 1
2023/4/6, 44, 26, 33, 13, , 1
2023/4/7, 34, 39, 15, 27, 5, 2
2023/4/8, 65, , , , , 2
2023/4/9, 87, , , , , 4
2023/4/10, 106, 52, , 30, 1, 
2023/4/17, 54, 52, , 33, 2, 5
2023/4/18, 88, 33, , 16, 1, 2
2023/4/19, 61, 36, , 25, 2, 1
2023/4/20, 57, 22, , 11, 1, 
2023/4/21, 37, 23, , 14, 1, 1
2023/4/22, 36, 60, , 27, 2, 3
2023/4/23, 89, 54, , 32, 1, 3
2023/4/24, 79, 39, , 20, 2, 2
2023/4/25, 63, 16, , 17, , 2
2023/4/26, 37, 39, , 28, 1, 6
2023/4/27, 73, 29, , 23, 1, 
2023/5/13, 41, 18, 20, 8, 1, 1
2023/5/14, 30, , , , , 
2023/5/15, 39, , , , , 
2023/5/16, 62, 29, 31, 20, 1, 2
2023/5/17, 49, 41, 38, 24, 1, 2
2023/5/18, 57, 16, 24, 10, , 1
2023/5/19, 32, 16, 19, 8, , 1
2023/5/20, 40, 14, 19, 12, , 2
2023/5/21, 55, 35, 21, 25, 1, 6
2023/5/22, 87, , , , , 
2023/5/23, 64, 31, 21, 21, 1, 2
2023/5/24, 66, 46, 7, 29, 1, 5
2023/5/25, 119, 45, 20, 23, 2, 9
2023/5/26, 82, 23, 30, 9, , 
2023/5/27, 59, 20, 24, 9, , 1
2023/5/28, 29, 22, 28, 18, , 3
2023/5/29, 30, 43, 31, 28, 1, 6
2023/5/30, 65, 25, 15, 21, , 3
2023/5/31, 41, 27, 26, 16, , 
2023/6/1, 41, 35, 28, 23, 1, 2
2023/6/2, 55, 12, 11, 18, , 2
2023/6/3, 38, 13, 20, 11, , 1
2023/6/4, 24, 22, 19, 17, , 2
2023/6/5, 31, 20, 8, 16, , 1
2023/6/6, 25, 31, , 19, 1, 3
2023/6/7, 40, 33, , 21, , 1
2023/6/8, 52, 33, , 16, , 2
2023/6/9, 51, 16, , 6, , 1
2023/6/10, 22, 16, , 6, , 
2023/6/11, 26, 21, , 8, , 
2023/6/12, 31, 24, , 10, 1, 1
2023/6/13, 34, 33, , 19, 1, 
2023/6/14, 57, 27, , 18, 1, 2
2023/6/15, 48, 43, , 23, 1, 3
2023/6/16, 68, 32, , 15, 1, 1
2023/6/17, 61, 23, , 7, 1, 1
2023/6/18, 42, 20, , 10, 1, 
2023/6/19, 38, 29, , 17, 1, 1
2023/6/20, 45, 21, , 12, , 1
2023/6/21, 38, 40, , 20, 1, 3
2023/6/22, 75, 21, , 15, 1, 1
2023/6/23, 60, 16, , 13, , 1
2023/6/24, 50, 23, , 16, 1, 2
2023/6/25, 62, 34, , 21, 1, 3
2023/6/26, 74, 22, , 17, 2, 2
2023/6/27, 49, 19, , 14, 2, 
2023/6/28, 51, 14, , 16, 1, 1
2023/6/29, 50, 20, , 20, 1, 2
2023/6/30, 71, 17, , 14, 1, 2
2023/1/2, 13, 7, 19, 17, 1, 1
2023/1/3, 24, 8, 17, 11, , 2
2023/1/4, 20, 8, 18, 16, , 2
2023/1/5, 28, 17, 9, 16, 1, 1
2023/1/6, 44, 19, 5, 29, 1, 4
2023/1/7, 51, 17, 3, 36, 2, 4
2023/1/8, 50, 24, 10, 25, 1, 1
2023/1/9, 60, 18, 17, 13, 1, 1
2023/1/10, 42, 15, 14, 15, 1, 2
2023/1/11, 31, 17, 17, 14, 1, 2
2023/1/12, 39, 14, 14, 16, , 1
2023/1/13, 47, 24, 13, 14, , 2
