date, pm25, pm10, o3, no2, so2, co
2023/12/1, 15, , , , , 
2023/12/4, 25, 6, , 17, , 4
2023/12/5, 24, 32, , 27, , 6
2023/12/6, 100, , , 18, , 2
2023/11/1, 35, 9, , 14, , 2
2023/11/2, 29, 14, , 8, , 1
2023/11/3, 33, 8, , 9, , 2
2023/11/4, 18, 9, , 7, , 2
2023/11/5, 20, 4, , 10, , 2
2023/11/6, 15, 7, , 8, , 3
2023/11/7, 20, 13, , 9, , 3
2023/11/8, 21, 31, , 18, , 6
2023/11/9, 24, 13, , 13, , 3
2023/11/10, 22, 12, , 13, , 3
2023/11/11, 23, 4, , 7, , 3
2023/11/12, 16, 5, , 6, , 3
2023/11/13, 16, 4, , 7, , 4
2023/11/14, 16, 15, , 16, , 6
2023/11/15, 18, 10, , 14, , 7
2023/11/16, 17, 7, , 21, , 3
2023/11/17, 14, 19, , 26, , 7
2023/11/18, 26, 17, , 24, , 7
2023/11/19, 28, 10, , 20, , 4
2023/11/20, 16, 8, , 19, , 4
2023/11/21, 14, 6, , 19, , 3
2023/11/22, 15, 3, , 14, , 2
2023/11/23, 7, 7, , 18, , 4
2023/11/24, 20, 9, , 18, , 5
2023/11/25, 25, 9, , 17, , 7
2023/11/29, 15, 4, , 12, , 3
2023/11/30, 12, 5, , 13, , 3
2023/10/1, 32, 24, , 13, , 2
2023/10/2, 38, , , , , 
2023/10/6, 21, 7, , 10, , 2
2023/10/7, 24, 7, , 3, , 2
2023/10/8, 20, 5, , 10, , 4
2023/10/9, 21, 12, , 10, , 3
2023/10/10, 27, 11, , 10, , 2
2023/10/11, 28, 8, , 7, , 2
2023/10/12, 24, 12, , 10, , 2
2023/10/13, 35, 7, , 10, , 2
2023/10/14, 17, 8, , 9, , 3
2023/10/15, 22, 6, , 15, , 3
2023/10/16, 16, 7, , 10, , 2
2023/10/17, 18, 6, , 9, , 3
2023/10/18, 18, 5, , 14, , 3
2023/10/19, 18, 6, , 12, , 3
2023/10/20, 18, 10, , 13, , 3
2023/10/21, 23, 12, , 13, , 5
2023/10/22, 21, 6, , 10, , 5
2023/10/23, 18, 14, , 13, , 3
2023/10/24, 23, 8, , 12, , 2
2023/10/25, 19, 9, , 7, , 2
