date, pm25, pm10, o3, no2, so2, co
2023/12/1, 45, 19, 4, 23, 1, 2
2023/12/2, 59, 12, 6, 18, 1, 1
2023/12/3, 44, 12, 5, 14, , 1
2023/12/4, 47, 12, 5, 16, , 1
2023/12/5, 44, 22, 1, 20, 1, 1
2023/12/6, 61, 18, 1, 16, , 
2023/12/7, 55, 16, 2, 12, , 
2023/12/8, 53, 19, 1, 14, 5, 
2023/12/9, 57, 15, 11, 12, 2, 
2023/12/10, 50, 11, 13, 3, 1, 
2023/12/11, 34, , , , , 
2023/12/17, 18, 8, 21, 8, , 2
2023/12/18, 20, 3, 12, 3, , 1
2023/12/19, 9, , , , , 
2023/11/2, 13, 14, 16, 11, , 1
2023/11/3, 27, 15, 8, 11, , 
2023/11/4, 34, 12, 8, 5, , 
2023/11/5, 37, , , , , 4
2023/11/7, 25, 16, 11, 13, , 3
2023/11/8, 32, 28, 6, 18, , 5
2023/11/9, 41, 19, 7, 13, , 2
2023/11/10, 34, 18, 15, 10, , 5
2023/11/11, 41, 10, 14, 11, , 2
2023/11/12, 29, 5, 11, 7, , 2
2023/11/13, 16, 18, 13, 10, , 2
2023/11/14, 14, 23, 10, 16, , 4
2023/11/15, 31, 15, 8, 13, , 2
2023/11/16, 32, 10, 16, 11, , 2
2023/11/17, 21, 25, 9, 25, , 4
2023/11/18, 40, 24, 1, 27, , 6
2023/11/19, 54, 19, 7, 19, , 3
2023/11/20, 46, 12, 8, 13, , 1
2023/11/21, 31, , , , , 2
2023/11/23, 10, 17, 7, 18, , 4
2023/11/24, 48, 18, 1, 19, 1, 2
2023/11/25, 58, 15, 2, 21, 1, 
2023/11/26, 48, 9, 7, 15, , 
2023/11/27, 25, 11, 9, 10, , 3
2023/11/28, 35, 12, 12, 16, 1, 2
2023/11/29, 40, 9, 11, 12, , 2
2023/11/30, 28, 12, 16, 14, , 1
2023/10/1, 41, 13, 9, 13, , 1
2023/10/2, 26, 14, 19, 10, , 1
2023/10/3, 25, 25, 24, 9, , 1
2023/10/4, 43, 13, 14, 13, , 1
2023/10/5, 27, 9, 15, 8, , 1
2023/10/6, 24, 6, 18, 9, , 1
2023/10/7, 12, 5, 18, 6, , 
2023/10/8, 13, 4, 10, 3, , 
2023/10/9, 19, 9, 9, 9, , 
2023/10/10, 23, 13, 19, 11, , 1
2023/10/11, 27, 16, 21, 8, , 
2023/10/12, 39, 13, 21, 11, , 
2023/10/13, 26, 15, 22, 9, , 
2023/10/14, 37, 15, 22, 3, , 1
2023/10/15, 44, 13, 3, 17, , 2
2023/10/16, 32, 7, 12, 9, , 1
2023/10/17, 18, 8, 12, 10, , 1
2023/10/18, 24, 8, 10, 12, , 1
2023/10/19, 27, 9, , 18, , 1
2023/10/20, 27, 18, 1, 16, , 2
2023/10/21, 41, 18, 2, 14, 1, 2
2023/10/22, 47, 11, 1, 13, 1, 3
2023/10/23, 36, 10, 15, 10, , 
2023/10/24, 32, 8, 14, 12, , 
2023/10/25, 23, , 16, 8, , 
2023/7/1, 39, 16, 28, 7, , 
2023/7/2, 36, 19, 31, 16, , 1
2023/7/3, 38, 23, 41, 37, , 1
2023/7/4, 47, 26, 36, 39, , 1
2023/7/5, 53, 24, 42, , , 1
2023/7/6, 55, 25, 25, , , 2
2023/7/7, 53, 14, 26, , , 1
2023/7/8, 33, 20, 30, , , 3
2023/7/9, 39, 14, 15, , , 
2023/7/10, 22, 11, 12, , , 
2023/7/11, 19, 10, 15, , , 1
2023/7/12, 20, 14, 9, , , 1
2023/7/13, 36, 15, 12, , , 2
2023/7/14, 36, 12, 15, , , 1
2023/7/15, 31, 15, 22, , , 1
2023/7/16, 37, 22, 32, , , 1
2023/7/17, 52, 23, 28, , , 1
2023/7/18, 50, 9, 21, , , 
2023/7/19, 18, 11, 19, , , 
2023/7/20, 23, 14, 23, , , 
2023/7/21, 30, 14, 25, , , 
2023/7/22, 29, 14, 24, , , 1
2023/7/23, 35, 13, 17, , , 1
2023/7/24, 33, 19, 28, 13, , 2
2023/7/25, 48, 22, 19, 14, , 2
2023/7/26, 53, 19, 26, 13, , 
2023/7/27, 42, 16, 18, 14, , 2
2023/7/28, 41, 9, 11, 12, , 1
2023/7/29, 23, 14, 27, 11, , 1
2023/7/30, 35, 19, 24, 18, , 1
2023/7/31, 41, 22, 34, 18, , 1
2023/8/1, 49, 29, 27, 20, , 3
2023/8/2, 60, 28, 37, 19, , 2
2023/8/3, 57, 24, 36, 14, , 1
2023/8/4, 52, 20, 46, 18, , 1
2023/8/5, 42, 32, 47, 17, , 2
2023/8/6, 59, 24, 37, 10, , 2
2023/8/7, 40, 24, 20, 16, , 1
