date, pm25, pm10, no2, so2, co
2023/12/16, 36, 16, 24, , 7
2023/12/17, 16, 6, 24, , 7
2023/12/18, 18, 5, 33, , 10
2023/12/19, 9, , 24, , 8
2023/11/1, 53, 19, 35, , 13
2023/11/2, 29, 17, 25, , 8
2023/11/3, 24, 9, 28, , 10
2023/11/4, 28, 14, 17, , 2
2023/11/5, 29, 6, 15, , 4
2023/11/6, 22, 6, 27, , 10
2023/11/7, 24, 14, 27, , 11
2023/11/8, 32, 33, 27, 1, 9
2023/11/9, 46, 21, , , 
2023/11/10, 36, 16, 28, , 11
2023/11/11, 42, 7, 17, , 2
2023/11/12, 21, 3, 20, , 8
2023/11/13, 17, 2, 24, 1, 9
2023/11/14, 14, , 33, , 13
2023/11/15, 40, , 21, , 7
2023/11/16, 33, , 20, , 2
2023/11/17, 24, 40, 39, 3, 14
2023/11/18, 52, 27, 34, 3, 15
2023/11/19, 75, 24, 23, 2, 4
2023/10/10, 27, 12, 28, , 12
2023/10/11, 27, 14, 28, , 9
2023/10/12, 39, 16, 26, , 8
2023/10/13, 26, 13, 30, , 10
2023/10/14, 37, 17, 27, , 10
2023/10/15, 35, 11, 26, , 10
2023/10/16, 26, 9, 27, , 12
2023/10/17, 19, 7, 28, , 7
2023/10/18, 23, 7, 27, , 10
2023/10/19, 31, 8, 28, 1, 11
2023/10/20, 34, 9, 23, 1, 10
2023/10/21, 29, 14, 15, 1, 9
2023/10/22, 52, 19, 19, 2, 9
2023/10/23, 31, 6, 18, , 7
2023/10/24, 30, 9, 19, , 5
2023/10/25, 25, 15, 19, , 2
2023/10/26, 24, 20, 13, , 2
2023/10/27, 14, 10, 16, , 3
2023/10/28, 23, 8, 13, 1, 3
2023/10/29, 27, 4, 17, 1, 9
2023/10/30, 24, 8, 23, 1, 11
2023/7/1, 39, 17, 28, , 11
2023/7/2, 36, 30, 35, , 8
2023/7/3, 38, 40, 48, , 16
2023/7/4, 47, 43, 51, , 
2023/7/5, 53, 44, 48, , 
2023/7/6, 55, 30, 49, , 
2023/7/7, 53, 16, 32, 1, 
2023/7/8, 33, 26, 28, 2, 
2023/7/9, 39, 12, 18, , 
2023/7/10, 22, 12, 20, , 
2023/7/11, 19, 11, 32, , 
2023/7/12, 20, 13, 34, , 
2023/7/13, 36, 15, 27, , 
2023/7/14, 36, 12, 23, , 
2023/7/15, 31, 15, 23, , 
2023/7/16, 43, 34, 40, 1, 
2023/7/21, 29, 14, 39, , 
2023/7/22, 29, 14, 34, , 10
2023/7/23, 37, 13, 36, , 10
2023/7/24, 33, 19, 39, , 6
2023/7/25, 49, 22, 33, , 11
2023/7/26, 53, 19, 30, , 5
2023/7/27, 42, 16, 36, , 13
2023/7/28, 41, 9, 25, , 4
2023/7/29, 23, 14, 20, 3, 22
2023/7/30, 35, 19, , 1, 
2023/7/31, 43, 22, 55, 2, 9
2023/8/1, 59, 29, 29, 1, 14
2023/8/2, 58, 28, 41, 1, 8
2023/8/3, 57, 24, 48, 1, 18
2023/8/4, 53, 20, 46, 1, 15
2023/8/5, 42, 32, 30, 1, 10
2023/8/6, 54, 24, 16, 1, 2
2023/8/7, 40, 27, 30, 1, 7
2023/8/8, 41, 20, 37, 1, 10
2023/8/9, 26, 19, 32, 1, 9
2023/8/11, 55, 28, 24, 1, 8
2023/8/12, 56, 16, 24, 1, 12
2023/8/13, 35, 17, 33, , 16
2023/8/14, 30, 26, 34, 1, 18
2023/8/15, 39, 25, 29, 1, 8
2023/8/16, 37, 53, 33, 5, 19
2023/8/17, 54, 47, 45, 2, 12
2023/8/18, 70, 22, 27, 1, 8
2023/8/19, 53, 32, 32, 2, 22
2023/8/20, 44, , 19, , 6
2023/8/21, 22, , 40, , 32
2023/8/22, 47, 14, 30, 1, 12
2023/8/23, 33, 16, 22, 1, 7
2023/8/24, 30, 32, 27, 2, 17
2023/8/25, 46, 30, 32, 4, 25
2023/4/1, 44, 14, 35, , 11
2023/4/8, 62, 26, 51, , 11
2023/4/9, 71, 9, 53, , 14
2023/4/10, 75, , 77, , 13
2023/4/11, 79, , 63, 1, 12
2023/4/12, 81, , 38, 1, 7
2023/4/13, 63, 30, 18, , 4
2023/4/14, 26, 42, 29, , 6
2023/4/15, 37, 34, 43, 1, 5
2023/4/16, 45, 47, 71, 1, 21
2023/4/17, 65, 72, 66, 1, 16
2023/4/18, 82, 44, 36, 1, 7
2023/4/22, 39, 74, 45, 2, 19
2023/4/23, 57, 74, 66, 1, 13
2023/4/24, 62, 60, 39, 1, 12
2023/4/25, 52, 9, 45, 1, 7
2023/4/26, 29, 47, 52, 1, 14
2023/4/27, 55, 22, 43, 1, 18
2023/4/28, 43, 15, 31, 2, 5
2023/4/29, 16, 31, 22, 2, 7
2023/5/2, 17, 19, 44, 1, 9
2023/5/3, 42, 15, 45, 1, 9
2023/5/4, 28, 19, 39, 1, 8
2023/5/5, 30, 17, 36, 1, 8
2023/5/6, 27, 15, 35, 1, 12
2023/5/7, 32, 31, 34, 1, 14
2023/5/12, 42, 42, 42, 1, 11
2023/5/13, 49, 14, 20, 1, 8
2023/5/14, 32, 46, , 1, 
2023/5/15, 39, 52, 39, 2, 11
2023/5/16, 42, 45, 51, 1, 14
2023/5/17, 38, 49, 55, , 17
2023/5/18, 54, 15, 23, , 2
2023/5/19, 35, 14, 22, , 3
2023/5/21, 33, 32, 36, 1, 17
2023/5/22, 54, 31, 33, , 7
2023/5/23, 57, 33, 39, , 7
2023/5/24, 52, 44, 31, , 8
2023/5/25, 68, 37, 39, , 16
2023/5/26, 58, 32, 36, , 6
2023/5/27, 37, 17, 35, , 5
2023/5/28, 23, 28, 45, , 10
2023/5/29, 33, 61, 53, 1, 11
2023/5/30, 48, 17, 38, , 5
2023/5/31, 34, 24, 40, , 12
2023/6/1, 38, 36, 40, 1, 8
2023/6/2, 51, 9, 27, 1, 9
2023/6/3, 21, 12, 31, 1, 10
2023/6/4, 12, 16, 39, , 10
2023/6/5, 26, 18, 43, , 11
2023/6/6, 29, 33, 41, , 10
2023/6/7, 39, 21, 41, , 11
2023/6/8, 38, 28, 39, , 13
2023/6/9, 45, 13, 11, , 5
2023/6/10, 24, 12, 11, 1, 3
2023/6/11, 27, 20, 13, 1, 4
2023/6/12, 26, 26, 25, , 4
2023/6/13, 38, 32, 39, 1, 13
2023/6/14, 24, 35, 32, 1, 8
2023/6/15, 29, 42, 36, 1, 13
2023/6/16, 39, 35, 25, , 10
2023/6/17, 32, 22, 17, , 8
2023/6/18, 17, 20, 18, , 5
2023/6/19, 11, 30, 33, , 15
2023/6/21, 56, 37, 38, , 9
2023/6/22, 52, 26, 30, , 10
2023/6/23, 57, 13, 33, , 10
2023/6/24, 27, 27, 32, , 4
2023/6/25, 39, 51, 26, 2, 9
2023/6/26, 49, 32, 26, 1, 11
2023/6/27, 42, 24, 23, , 4
2023/6/28, 40, 15, 27, , 7
2023/6/29, 35, 19, 28, , 3
2023/6/30, 47, 16, 30, , 8
2023/1/5, 36, 7, , 1, 4
2023/1/6, 48, 11, , 1, 10
2023/1/7, 53, 12, , 1, 12
2023/1/8, 45, 11, , 1, 16
2023/1/9, 55, 17, , 1, 7
2023/1/10, 36, 10, , 1, 3
2023/1/11, 29, 11, , 1, 12
2023/1/14, 42, 17, , , 9
2023/1/15, 47, 18, , , 15
2023/1/16, 48, 20, 38, , 4
2023/1/17, 62, 11, 32, , 2
2023/1/18, 61, 19, 33, , 3
2023/1/19, 52, 14, 38, , 5
2023/1/20, 63, 19, 36, 1, 8
2023/2/15, 19, 5, , , 
2023/2/16, 29, 7, , , 
2023/2/17, 51, 14, , , 
2023/2/18, 48, 13, 30, , 
2023/2/19, 43, 12, 40, , 14
2023/2/20, 60, 20, 38, , 9
2023/2/21, 77, 25, 41, 1, 4
2023/2/22, 72, 21, 46, 1, 6
2023/2/23, 52, 14, 43, , 12
2023/2/24, 49, 16, 38, , 10
2023/2/25, 40, 11, 28, , 8
2023/2/26, 30, 7, 38, 1, 7
2023/2/27, 38, 9, 40, 1, 8
2023/2/28, 31, 7, 48, 1, 7
2023/3/24, 41, 13, 30, 1, 10
2023/3/25, 38, 11, 30, 1, 18
2023/3/26, 39, 12, 40, 2, 7
2023/3/27, 25, 8, 28, 2, 11
2023/3/28, 37, 21, 20, , 6
2023/3/29, 34, 11, 37, , 4
2023/3/30, 26, 11, 27, , 12
2023/3/31, 30, 19, 36, , 8
2022/10/5, 21, 7, 20, 1, 11
2022/10/6, 33, 6, 17, 1, 11
2022/10/7, 34, , 21, , 6
2022/10/8, 38, , 22, , 9
2022/10/9, 39, 21, 21, 1, 8
2022/10/10, 30, 15, 17, 1, 5
2022/10/11, 46, 41, 22, 2, 11
2022/10/13, 37, 17, 23, 1, 9
2022/10/14, 46, 26, 23, 1, 12
2022/10/15, 56, 30, 24, 1, 11
2022/10/16, 47, 22, 25, 1, 12
2022/10/17, 42, 17, 23, 1, 10
2022/10/18, 34, 9, 20, 2, 6
2022/10/19, 24, 12, 19, 2, 5
2022/10/25, 59, 34, 25, 1, 12
2022/10/26, 38, 19, 19, , 6
2022/10/27, 55, 34, 21, , 10
2022/10/28, 44, 16, 17, , 16
2022/10/29, 22, 6, 18, , 10
2022/10/30, 14, 5, 18, , 6
2022/10/31, 22, 6, 19, , 4
2022/11/12, 11, 4, 14, , 4
2022/11/13, 17, 7, 14, , 1
2022/11/14, 23, 11, 18, , 3
2022/11/15, 30, 19, 27, , 7
2022/11/16, 49, 14, 22, , 4
2022/11/17, 44, 15, 24, , 9
2022/11/18, 37, 12, 16, , 4
2022/11/19, 47, 15, 21, , 7
2022/11/20, 49, 12, 20, , 8
2022/11/25, 40, 12, 19, , 2
2022/11/26, 38, 12, 19, , 6
2022/11/27, 42, 12, 16, , 3
2022/11/28, 45, 11, 15, , 3
2022/11/29, 52, 15, , , 7
2022/11/30, 68, 25, , , 10
2022/12/1, 94, 40, , 2, 20
2022/12/2, 68, 31, , 1, 10
2022/12/3, 51, 14, , , 4
2022/12/4, 38, 12, , , 9
2022/12/5, 31, 14, , , 10
2022/12/6, 25, 9, , , 10
2022/12/7, 31, 15, , 1, 4
2022/12/8, 43, 15, , 1, 9
2022/12/9, 51, 14, , 1, 16
2022/12/10, 42, 21, , 1, 10
2022/12/18, 45, 8, 12, 2, 5
2022/12/19, 37, 9, 16, 1, 9
