date, pm25, pm10, o3, no2, so2, co
2023/12/1, 49, 24, , 26, 2, 3
2023/12/2, 65, 16, , 19, 1, 2
2023/12/3, 48, 14, , 19, 1, 2
2023/12/4, 48, 19, , 22, 1, 3
2023/12/5, 58, 20, , 24, 2, 3
2023/12/6, 59, 19, , 20, 1, 2
2023/12/7, 56, 17, , 11, , 2
2023/12/8, 53, 17, , 10, , 1
2023/12/9, 52, 14, , 11, 1, 1
2023/12/10, 45, 15, , 12, 2, 1
2023/12/11, 35, 19, , 14, , 1
2023/12/12, 27, , , 13, , 1
2023/11/3, 37, 17, , 13, , 1
2023/11/4, 34, 18, , 7, , 1
2023/11/5, 38, 12, , 14, , 2
2023/11/6, 28, 11, , 17, 4, 2
2023/11/7, 26, 21, , 20, , 2
2023/11/8, 30, 29, , 18, 1, 4
2023/11/9, 43, 28, , 20, 2, 2
2023/11/10, 38, 22, , 20, 11, 2
2023/11/11, 41, , , 5, , 1
2023/11/13, 25, 7, , 17, 1, 2
2023/11/14, 19, 30, , 22, 1, 3
2023/11/15, 53, 18, , 15, , 3
2023/11/16, 36, 8, , 9, , 1
2023/11/17, 20, 27, , 24, 1, 4
2023/11/18, 52, 32, , 25, , 6
2023/11/19, 70, 18, , 14, 2, 1
2023/11/20, 41, 12, , 16, 1, 1
2023/11/21, 31, , , 18, , 1
2023/11/24, 52, 21, , , 1, 
2023/11/25, 61, 20, , , 1, 
2023/11/26, 56, 10, , , , 
2023/11/27, 21, 14, , 23, , 1
2023/11/28, 39, 16, , 16, 1, 1
2023/11/29, 42, 12, , 14, , 1
2023/11/30, 31, 16, , 20, 1, 1
2023/10/1, 41, 17, , 21, 1, 3
2023/10/2, 27, 16, , 18, 1, 2
2023/10/3, 26, 27, , , 2, 
2023/10/4, 41, 15, , , 1, 
2023/10/5, 27, 11, , 14, 1, 2
2023/10/6, 24, 8, , 19, 1, 2
2023/10/7, 15, , , 10, , 1
2023/10/11, 30, 17, , 16, 1, 1
2023/10/12, 37, 16, , 17, , 1
2023/10/13, 25, 21, , 29, 1, 3
2023/10/14, 40, 16, , , 1, 
2023/10/15, 36, 12, , , , 
2023/10/16, 28, 9, , 17, , 1
2023/10/17, 19, 11, , 17, , 2
2023/10/18, 25, 13, , 19, , 2
2023/10/19, 37, 15, , 11, , 2
2023/10/20, 42, 16, , 8, , 4
2023/10/21, 41, 28, , 11, , 12
2023/10/22, 59, 10, , 9, , 2
2023/10/23, 27, 10, , 9, , 2
2023/10/24, 32, 13, , 6, , 2
2023/10/25, 27, 20, , 5, , 1
2023/10/26, 29, 14, , 6, , 1
2023/10/27, 31, 9, , 8, , 1
2023/10/28, 30, 10, , 10, , 2
2023/10/29, 31, 9, , 14, , 2
2023/10/30, 27, , , , , 
2023/7/1, 36, 18, , 13, 1, 1
2023/7/2, 40, 27, , 20, 1, 3
2023/7/3, 43, 26, , 24, 1, 
2023/7/4, 47, 37, , 27, 1, 
2023/7/5, 59, 33, , 21, 1, 
2023/7/6, 57, 30, , 24, 1, 
2023/7/7, 55, 16, , 17, 1, 
2023/7/8, 39, 17, , 10, 1, 
2023/7/9, 35, 12, , 7, 1, 
2023/7/10, 21, 9, , 7, 1, 
2023/7/11, 16, 12, , 13, 1, 
2023/7/12, 21, 16, , 23, 1, 
2023/7/13, 35, 12, , 15, 1, 
2023/7/14, 27, 13, , 12, 1, 
2023/7/15, 31, 15, , 19, 1, 
2023/7/16, 37, 21, , , 1, 
2023/7/17, 49, 35, , , 1, 
2023/7/18, 58, 4, , , 1, 
2023/7/19, 11, , , , , 
2023/7/21, 29, 18, , , , 
2023/7/22, 31, 22, , , , 
