date, pm25, pm10, o3, no2, so2, co
2023/12/1, 46, 13, , 20, , 2
2023/12/2, 59, 19, , 25, 1, 3
2023/12/3, 45, 13, , 21, 1, 2
2023/12/4, 50, 11, , 21, , 3
2023/12/5, 48, 19, , 29, , 5
2023/12/6, 62, 17, , 24, , 3
2023/12/7, 56, 14, , 20, , 2
2023/12/8, 52, 17, 1, 20, 7, 2
2023/12/9, 55, 13, 11, 19, 2, 1
2023/12/10, 50, 8, 13, 14, 1, 1
2023/12/11, 34, , , , , 
2023/12/17, 18, 7, 21, 19, , 2
2023/12/18, 20, 4, 12, 14, , 1
2023/12/19, 9, , , , , 
2023/11/2, 13, 17, 16, 16, , 1
2023/11/3, 27, , 8, , , 
2023/11/4, 34, 9, 8, 14, , 1
2023/11/5, 38, 14, , 9, , 1
2023/11/6, 21, 6, , 10, , 1
2023/11/7, 23, 6, , 14, , 1
2023/11/8, 32, 14, , 14, , 2
2023/11/9, 46, 33, , 18, 1, 4
2023/11/10, 36, 21, , 15, , 1
2023/11/11, 42, 16, , 15, , 1
2023/11/12, 21, 7, , 11, , 1
2023/11/13, 17, 3, , 9, , 1
2023/11/14, 14, 2, , 7, 1, 1
2023/11/15, 40, , , , , 
2023/11/16, 33, , , , , 
2023/11/17, 24, , , , , 
2023/11/18, 52, 40, , 33, 3, 5
2023/11/19, 63, 27, , 30, 3, 4
2023/11/20, 40, 24, , 24, 2, 2
2023/11/21, 33, 12, , 15, 1, 1
2023/11/22, 33, , , , , 
2023/11/23, 9, , , , , 
2023/11/24, 49, 17, , 22, 2, 2
2023/11/25, 61, 17, , 21, 2, 3
2023/11/26, 49, 12, , 21, 2, 2
2023/11/27, 24, , , , , 
2023/11/28, 38, 11, , 14, , 2
2023/11/29, 39, 13, , 20, 1, 1
2023/11/30, 31, 9, , 15, 1, 2
2023/10/1, 41, 14, 9, 15, , 2
2023/10/2, 27, 16, 19, 13, , 1
2023/10/3, 21, 23, 27, 10, , 1
2023/10/6, 14, 4, , 12, , 2
2023/10/7, 12, 4, , 7, , 1
2023/10/8, 12, 3, , 6, 1, 1
2023/10/9, 20, , , , , 
2023/10/10, 25, 13, , 13, 1, 2
2023/10/11, 39, 12, , 11, , 1
2023/10/12, 40, 14, , 14, , 2
2023/10/13, 26, 12, 22, 19, , 2
2023/10/14, 38, 11, 22, 13, 1, 2
2023/10/15, 35, 9, 3, 15, 1, 2
2023/10/16, 26, 7, 12, 15, , 1
2023/10/17, 19, 7, 12, 14, , 1
2023/10/18, 23, 8, 10, 17, 1, 2
2023/10/19, 31, 9, , 16, 1, 2
2023/10/20, 32, 14, 1, 13, 1, 3
2023/10/21, 33, 19, 2, 16, 2, 4
2023/10/22, 52, 6, 1, 10, , 3
2023/10/23, 31, 9, 15, 12, , 2
