date, pm25, pm10, o3, no2, so2, co
2023/12/1, 48, 19, 4, 23, , 3
2023/12/2, 60, 13, 10, 20, , 1
2023/12/3, 44, 11, 6, 14, , 2
2023/12/4, 44, 11, 4, 18, , 1
2023/12/5, 45, 19, 1, 23, , 5
2023/12/6, 61, 15, 3, 21, , 3
2023/12/7, 55, 13, 3, 15, , 3
2023/12/8, 50, 13, 3, 16, , 2
2023/12/9, 51, 14, 5, 17, , 
2023/12/10, 50, 13, 3, 22, 1, 1
2023/12/11, 43, , , , , 
2023/12/13, 59, 51, 5, 20, 3, 1
2023/12/14, 65, 40, 10, 17, , 2
2023/12/15, 63, 17, 1, 14, , 1
2023/12/16, 44, 5, 24, 11, , 1
2023/12/17, 18, 7, 25, 13, , 2
2023/12/18, 22, 4, 12, 12, , 1
2023/12/19, 13, , , , , 
2023/11/1, 55, , 13, 12, , 1
2023/11/2, 26, , 19, 14, 1, 
2023/11/3, 38, , 5, 16, 4, 
2023/11/4, 41, , 7, 10, 1, 1
2023/11/5, 38, , 14, 15, 1, 
2023/11/6, 31, , 14, 10, , 1
2023/11/7, 24, , 14, 14, , 1
2023/11/8, 31, , 10, 17, , 3
2023/11/9, 39, , 10, 15, , 1
2023/11/10, 35, , 13, 16, , 1
2023/11/11, 45, 8, 17, 9, , 1
2023/11/12, 24, 6, 13, 9, , 
2023/11/13, 20, 6, 15, 12, , 
2023/11/14, 18, 21, 12, 18, , 3
2023/11/15, 40, 12, 16, 10, , 2
2023/11/16, 30, 21, 20, 10, 1, 1
2023/11/17, 29, 35, 5, 25, 1, 3
2023/11/18, 54, 26, 1, 27, 1, 4
2023/11/19, 62, 24, 11, 18, 1, 3
2023/11/20, 45, 18, 15, 11, 1, 1
2023/11/21, 35, 13, 14, 15, , 2
2023/11/22, 31, 11, 8, 20, , 1
2023/11/23, 16, 15, 3, 21, 1, 2
2023/11/24, 50, 18, 2, 18, 1, 2
2023/11/25, 59, 15, 4, 20, 1, 2
2023/11/26, 52, 7, 7, 14, 1, 2
2023/11/27, 24, 11, 6, 14, 1, 1
2023/11/28, 38, 11, 13, 17, 1, 1
2023/11/29, 38, 9, 17, 14, , 1
2023/11/30, 33, 14, 16, 18, , 3
2023/10/1, 41, 13, 11, 12, , 1
2023/10/2, 27, 12, 22, 11, , 1
2023/10/3, 24, 25, 30, 9, , 1
2023/10/4, 43, , , , , 
2023/10/8, 14, 6, 13, 11, , 1
2023/10/9, 23, 9, 14, 11, , 2
2023/10/10, 26, 11, 18, 13, , 2
2023/10/11, 24, 15, 24, 13, , 1
2023/10/12, 40, 10, 26, 8, , 2
2023/10/13, 25, 15, 24, 16, , 
2023/10/14, 38, 13, 22, 12, , 2
2023/10/15, 36, 12, 8, 16, , 2
2023/10/16, 29, 7, 14, 10, , 1
2023/10/17, 19, 8, 16, 11, , 1
2023/10/18, 24, 12, 10, 18, , 3
2023/10/19, 39, 9, 4, 13, , 1
2023/10/20, 34, 15, 6, 10, , 3
2023/10/21, 33, 21, 2, 15, , 3
2023/10/22, 52, 11, 1, 11, , 4
2023/10/23, 38, 12, 19, 9, , 2
2023/10/24, 31, 10, 17, 11, , 1
2023/10/25, 27, 12, 20, 8, , 1
2023/10/26, 28, 11, 15, 11, , 2
2023/10/27, 26, 8, 3, 10, , 2
2023/10/28, 28, 7, 4, 8, , 1
2023/10/29, 32, 13, 5, 14, , 3
2023/10/30, 39, 11, 14, 17, , 2
2023/10/31, 51, , 15, 18, , 1
2023/7/1, 37, 15, 36, 8, , 1
2023/7/2, 39, 22, 38, 15, , 2
2023/7/3, 41, 24, 52, 13, , 2
2023/7/4, 49, 32, 43, 34, , 3
2023/7/5, 59, 25, 56, , , 2
2023/7/6, 54, 27, 31, , , 2
2023/7/7, 54, 14, 33, , , 2
2023/7/8, 36, 17, 38, , , 3
2023/7/9, 37, 11, 21, , , 
2023/7/10, 20, 9, 15, , , 
2023/7/11, 18, 10, 18, , , 1
2023/7/12, 22, 11, 14, , , 1
2023/7/13, 36, 13, 14, , , 1
2023/7/14, 30, 12, 20, , , 2
2023/7/15, 32, 17, 27, , , 2
2023/7/16, 40, 28, 37, , 1, 3
2023/7/17, 60, 28, 31, , , 2
2023/7/18, 60, 9, 25, , , 1
2023/7/19, 19, 12, 27, , , 1
2023/7/20, 23, 14, 31, , , 2
2023/7/21, 31, 13, 34, , 1, 1
2023/7/22, 30, 17, 33, , , 2
2023/7/23, 43, 13, 20, , , 
2023/7/24, 36, 18, 37, , 1, 2
2023/7/25, 47, 23, 17, , , 1
2023/7/26, 60, 14, 23, , , 1
2023/7/27, 33, 9, 7, , 1, 2
2023/7/28, 15, 11, 15, , 1, 1
2023/7/29, 24, 16, 39, , 1, 4
2023/7/30, 39, 21, 32, 15, 1, 1
2023/7/31, 41, 32, 38, 24, 1, 5
2023/8/1, 58, 27, 33, 21, 1, 5
2023/8/2, 57, 30, 42, 22, 1, 4
2023/8/3, 60, 31, 42, 20, 1, 2
2023/8/4, 56, 27, 54, 21, 1, 3
2023/8/5, 59, 33, 53, 25, 1, 4
2023/8/6, 64, 19, 41, 10, 1, 2
2023/8/7, 34, 23, 25, 16, , 2
2023/8/8, 47, 15, 24, 14, , 1
2023/8/9, 25, 17, 34, 13, , 2
2023/8/10, 35, 22, 21, 19, , 3
2023/8/11, 52, 23, 18, 17, , 3
2023/8/12, 55, 16, 19, 13, , 1
2023/8/13, 40, 13, 17, 11, , 2
2023/8/14, 31, 18, 33, 17, , 2
2023/8/15, 38, 21, 28, 19, , 3
2023/8/16, 43, 27, 38, 24, , 5
2023/8/17, 57, 36, 14, 34, , 5
2023/8/18, 72, 19, 43, 12, , 3
2023/8/19, 43, 17, 34, 13, , 2
2023/8/20, 47, 12, 30, 11, , 2
2023/8/21, 24, 28, 18, 24, , 4
2023/8/22, 54, 14, 16, 17, , 2
2023/8/23, 34, 12, 13, 13, , 2
2023/8/24, 26, 16, 22, 15, , 3
2023/8/25, 41, 28, 17, 22, , 6
2023/8/26, 60, 16, 20, 13, , 4
2023/8/27, 42, 16, 27, 15, , 4
2023/8/28, 47, 25, 10, 21, 1, 3
2023/8/29, 51, 12, 17, 12, , 1
2023/8/30, 34, 32, 33, 22, 2, 3
2023/8/31, 65, 32, 47, 24, 1, 3
2023/9/1, 66, 36, 6, 32, 1, 4
2023/9/2, 81, 15, 25, 17, , 4
2023/9/3, 43, 24, 22, 19, , 6
2023/9/4, 63, 17, 30, 18, , 2
2023/9/5, 47, 18, 26, 12, , 1
2023/9/6, 47, 12, 19, 11, , 1
2023/9/7, 31, 11, 17, 10, , 2
2023/9/8, 30, 12, 11, 8, , 1
2023/9/9, 36, 17, 20, 11, , 2
2023/9/10, 55, 35, 10, 24, , 5
2023/9/11, 85, 30, 17, 21, , 3
2023/9/12, 75, 30, 22, 21, 1, 6
2023/9/13, 71, 31, 27, 23, 1, 5
2023/9/14, 62, 30, 29, 24, , 5
2023/9/15, 59, 15, 15, 12, , 2
2023/9/16, 34, 18, 23, 15, , 4
2023/9/17, 41, 18, 4, 19, , 6
2023/9/18, 48, 33, 6, 23, 1, 6
2023/9/19, 65, 38, 41, 16, , 2
2023/9/20, 59, 26, 39, 16, , 2
2023/9/21, 56, 39, 39, 24, 1, 6
2023/9/22, 70, 37, 39, 27, , 2
2023/9/23, 55, 36, 36, 20, 1, 3
2023/9/24, 57, 17, 24, 13, , 2
2023/9/25, 37, 25, 7, 24, 1, 5
2023/9/26, 51, 21, 31, 21, , 3
2023/9/27, 49, 22, 29, 18, , 1
2023/9/28, 48, 29, 24, 22, , 2
2023/9/29, 55, 34, 40, 20, , 2
2023/9/30, 62, 19, 33, 8, , 1
2023/4/1, 46, 24, 22, 21, , 1
2023/4/2, 52, 38, 23, 30, 1, 3
2023/4/3, 60, 44, 16, 22, 1, 2
2023/4/4, 55, 49, 16, 14, , 2
2023/4/5, 51, 40, 37, 12, , 1
2023/4/6, 38, 28, 38, 12, , 1
2023/4/7, 29, 42, 43, 21, , 2
2023/4/8, 52, 48, 38, 28, 1, 2
2023/4/9, 72, 60, 12, 38, 1, 4
2023/4/10, 77, 58, 42, 36, , 4
2023/4/11, 79, 64, 63, 35, 1, 5
2023/4/12, 89, 46, 50, 23, 1, 2
2023/4/13, 60, 17, 41, 6, , 1
2023/4/14, 23, 19, 34, 13, , 1
2023/4/15, 31, 25, 44, 17, 3, 1
2023/4/16, 48, 46, , 34, 1, 3
2023/4/17, 60, 52, , 34, 1, 3
2023/4/18, 71, 30, , 19, 1, 1
2023/4/19, 52, 40, , 28, , 2
2023/4/20, 56, 28, , 21, , 1
2023/4/21, 39, 31, , 20, , 2
2023/4/22, 43, 37, , 22, , 3
2023/4/23, 56, 44, , 23, 1, 2
2023/4/24, 66, 38, , 23, , 1
2023/4/25, 56, 11, , 10, , 1
2023/4/26, 25, 29, 36, 19, , 2
2023/4/27, 44, 30, 13, 25, , 2
2023/4/28, 51, 18, 25, 13, , 2
2023/4/29, 31, 30, 25, 17, , 4
2023/4/30, 48, 10, 21, 10, , 1
2023/5/1, 28, 16, 30, 14, , 1
2023/5/2, 27, 24, 25, 14, , 1
2023/5/3, 42, 23, 29, 18, , 2
2023/5/4, 31, 23, 22, 16, , 1
2023/5/5, 33, 14, 21, 9, , 1
2023/5/6, 23, , , , , 
2023/5/8, 49, 30, 35, 23, , 5
2023/5/9, 51, 32, 29, 28, , 3
2023/5/10, 52, 35, 25, 29, , 3
2023/5/11, 52, 36, 37, 26, , 3
2023/5/12, 54, 38, 41, 22, , 2
2023/5/13, 53, 18, 28, 10, , 1
2023/5/14, 32, 19, 32, 16, , 2
2023/5/15, 37, , , , , 
2023/5/17, 38, 40, 42, 24, , 4
2023/5/18, 61, 16, 26, 8, , 1
2023/5/19, 32, 14, 22, 7, , 1
2023/5/20, 28, 14, 23, 10, , 2
2023/5/21, 33, 33, 20, 23, , 4
2023/5/22, 59, 30, 19, 22, , 1
2023/5/23, 55, 30, 21, 19, , 1
