date, pm25, pm10, o3, no2, so2, co
2023/12/1, 57, , , 26, , 4
2023/12/2, 67, , , 25, , 6
2023/12/3, 54, , , 18, , 1
2023/12/4, 50, , , 26, , 2
2023/12/5, 60, , , 30, , 8
2023/12/6, 79, , , 29, , 8
2023/12/7, 69, , , 23, , 5
2023/12/8, 60, , , 22, , 4
2023/12/9, 60, , , 20, , 2
2023/12/10, 54, , , , , 
2023/12/14, 78, , , 25, , 5
2023/12/15, 73, , , 18, , 1
2023/12/16, 47, , , 19, , 2
2023/12/17, 22, , , 22, , 2
2023/12/18, 28, , , 19, , 1
2023/12/19, 21, , , , , 
2023/11/1, 73, , , 25, , 5
2023/11/2, 62, , , , , 
2023/11/4, 56, , , 18, , 4
2023/11/5, 54, , , 21, , 7
2023/11/6, 46, , , 19, , 2
2023/11/7, 39, , , 19, , 2
2023/11/8, 43, , , 25, , 8
2023/11/9, 64, , , 20, , 4
2023/11/10, 47, , , 25, , 6
2023/11/11, 62, , , 19, , 5
2023/11/12, 36, , , 17, , 2
2023/11/13, 29, , , 17, , 2
2023/11/14, 28, , , 28, , 10
2023/11/15, 68, , , 16, , 6
2023/11/16, 58, , , 31, , 6
2023/11/17, 51, , , 32, , 7
2023/11/18, 84, , , 35, , 10
2023/11/19, 97, , , 28, , 7
2023/11/20, 66, , , 18, , 1
2023/11/21, 39, , , 17, , 
2023/11/22, 28, , , 23, , 3
2023/11/23, 15, , , 29, , 7
2023/11/24, 59, , , 22, , 4
2023/11/25, 66, , , 25, , 8
2023/11/26, 66, , , 20, , 4
2023/11/27, 37, , , 21, , 3
2023/11/28, 50, , , 31, , 5
2023/11/29, 59, , , 23, , 3
2023/11/30, 46, , , 24, , 4
2023/10/1, 57, , , , , 1
2023/10/2, 42, , , , , 4
2023/10/3, 38, , , , , 3
2023/10/4, 50, , , , , 5
2023/10/5, 45, , , , , 4
2023/10/6, 40, , , , , 2
2023/10/7, 27, , , , , 1
2023/10/8, 26, , , 14, , 1
2023/10/9, 27, , , 15, , 4
2023/10/10, 32, , , 21, , 3
2023/10/11, 34, , , 15, , 2
2023/10/12, 32, , , , 1, 
2023/10/16, 48, , , 18, 1, 4
2023/10/17, 32, , , 21, , 3
2023/10/18, 37, , , 29, , 10
2023/10/19, 63, , , 21, , 6
2023/10/20, 61, , , 12, , 3
2023/10/21, 39, , , 22, , 10
2023/10/22, 73, , , 19, , 11
2023/10/23, 55, , , 18, , 3
2023/10/24, 45, , , 30, , 6
2023/10/25, 55, , , 29, , 3
2023/10/26, 47, , , 22, , 6
2023/10/27, 40, , , 16, , 5
2023/10/28, 45, , , 10, , 1
2023/10/29, 34, , , 25, , 10
2023/10/30, 61, , , 29, , 10
2023/10/31, 65, , , 30, , 7
2023/7/1, 50, , , 24, , 5
2023/7/2, 52, , , 36, , 9
2023/7/3, 69, , , 39, , 4
2023/7/4, 58, , , , 1, 10
2023/7/5, 85, , , , 4, 9
2023/7/6, 80, , , , 5, 5
2023/7/7, 73, , , , 8, 4
2023/7/8, 50, , , , 4, 4
2023/7/9, 54, , , , 3, 1
2023/7/10, 31, , , , 2, 3
2023/7/11, 28, , , , 2, 2
2023/7/12, 35, , , , 2, 5
2023/7/13, 53, , , , 2, 7
2023/7/14, 49, , , , 2, 2
2023/7/15, 40, , , , 1, 3
2023/7/16, 45, , , , 1, 4
2023/7/17, 63, , , , 2, 11
2023/7/18, 84, , , , 1, 2
2023/7/19, 35, , , , , 3
2023/7/20, 42, , , , , 4
2023/7/21, 41, , , , , 3
2023/7/22, 48, , , , 1, 10
2023/7/23, 65, , , 25, , 3
2023/7/24, 48, , , 28, 1, 7
2023/7/25, 67, , , 33, , 6
2023/7/26, 80, , , 31, , 5
2023/7/27, 60, , , 31, , 7
2023/7/28, 67, , , 17, , 3
2023/7/29, 32, , , 14, , 4
2023/7/30, 42, , , 25, , 5
2023/7/31, 53, , , 45, , 11
2023/8/1, 77, , , 41, , 12
2023/8/2, 89, , , 39, , 8
2023/8/3, 80, , , 29, 1, 8
2023/8/4, 72, , , 35, , 8
2023/8/5, 64, , , 45, 1, 9
2023/8/6, 79, , , 35, , 5
2023/8/7, 60, , , 32, , 4
2023/8/8, 59, , , 20, , 2
2023/8/9, 44, , , 18, , 2
2023/8/10, 47, , , 30, 1, 6
2023/8/11, 66, , , 31, 3, 8
2023/8/12, 76, , , 26, 2, 7
2023/8/13, 58, , , 22, 2, 5
2023/8/14, 50, , , 21, 2, 1
2023/8/15, 47, , , 22, 2, 5
2023/8/16, 48, , , 39, 2, 14
2023/8/17, 88, , , 37, 3, 9
2023/8/18, 81, , , 25, 3, 8
2023/8/19, 65, , , 24, 2, 7
2023/8/20, 60, , , 23, 1, 7
2023/8/21, 40, , , 33, 1, 9
2023/8/22, 71, , , 23, 2, 3
2023/8/23, 47, , , 23, 1, 7
2023/8/24, 53, , , 24, , 9
2023/8/25, 61, , , 30, 1, 12
2023/8/26, 75, , , 21, 1, 6
2023/8/27, 49, , , 28, 2, 7
2023/8/28, 64, , , 31, , 6
2023/8/29, 67, , , 28, , 5
2023/8/30, 53, , , 40, , 8
2023/8/31, 76, , , 46, , 8
2023/9/1, 80, , , 36, , 8
2023/9/2, 85, , , 25, , 5
2023/9/3, 48, , , 24, , 7
2023/9/4, 60, , , 24, , 3
2023/9/5, 36, , , 27, , 5
2023/9/6, 52, , , 15, , 2
2023/9/7, 27, , , 20, , 3
2023/9/8, 34, , , 14, , 3
2023/9/9, 33, , , , , 
2023/9/11, 103, , , 31, , 8
2023/9/12, 79, , , 31, , 13
2023/9/13, 84, , , , , 11
2023/9/14, 89, , , , , 8
2023/9/15, 85, , , , 1, 5
2023/9/16, 47, , , , , 9
2023/9/17, 61, , , , , 8
2023/9/18, 62, , , , , 14
2023/9/19, 89, , , , , 9
2023/9/20, 83, , , , , 7
2023/9/21, 64, , , , 1, 17
2023/9/22, 125, , , , 2, 7
2023/9/23, 73, , , , 3, 6
2023/9/24, 72, , , , , 6
2023/9/25, 47, , , , 1, 
2023/9/27, 66, , , , , 8
2023/9/28, 68, , , , , 5
2023/9/29, 66, , , , , 10
2023/9/30, 83, , , , , 4
2023/4/1, 63, , , 40, , 6
2023/4/2, 70, , , 53, 2, 10
2023/4/3, 88, , , 39, 1, 6
2023/4/4, 70, , , 27, 1, 5
2023/4/5, 71, , , 38, , 5
2023/4/6, 61, , , 42, , 5
2023/4/7, 57, , , 42, 1, 2
2023/4/8, 55, , , , 4, 
2023/4/11, 98, , , 68, 2, 9
2023/4/12, 105, , , 59, 1, 5
2023/4/13, 98, , , , , 
2023/4/16, 68, , , 46, 2, 4
2023/4/17, 88, , , 58, , 10
2023/4/18, 94, , , 51, , 6
2023/4/19, 76, , , 55, 1, 5
2023/4/20, 72, , , 44, 1, 3
2023/4/21, 54, , , 36, 2, 3
2023/4/22, 53, , , 53, , 13
2023/4/23, 94, , , 64, 3, 12
2023/4/24, 107, , , 52, 3, 8
2023/4/25, 87, , , 23, , 2
2023/4/26, 34, , , 44, 1, 8
2023/4/27, 75, , , 43, , 7
2023/4/28, 76, , , 25, , 3
2023/4/29, 36, , , 36, , 7
