date, pm25, pm10, o3, no2, so2, co
2023/12/1, 35, 14, , 17, , 2
2023/12/2, 49, 9, , 19, , 3
2023/12/3, 34, 12, , 14, , 3
2023/12/4, 47, 13, , 17, , 3
2023/12/5, 45, 13, , 21, , 3
2023/12/6, 47, 13, , 18, , 2
2023/12/7, 53, 12, , 16, , 1
2023/12/8, 47, 10, , 14, , 1
2023/12/9, 42, 9, , 13, , 1
2023/12/10, 34, 8, , 12, , 1
2023/12/11, 31, , , 12, , 1
2023/11/1, 35, 13, , 12, , 1
2023/11/2, 44, 15, , 10, , 1
2023/11/3, 38, 11, , 8, , 1
2023/11/4, 30, 8, , 6, , 1
2023/11/5, 27, 8, , 10, , 1
2023/11/6, 30, 10, , 11, , 1
2023/11/7, 32, 15, , 12, , 1
2023/11/8, 31, 21, , 15, , 3
2023/11/9, 36, 18, , 14, , 2
2023/11/10, 32, 16, , 13, , 1
2023/11/11, 32, 6, , 7, , 
2023/11/12, 23, 8, , 9, , 1
2023/11/13, 27, 7, , 11, , 1
2023/11/14, 25, 25, , 16, 1, 4
2023/11/15, 37, 14, , 11, 2, 2
2023/11/16, 34, 8, , 12, , 1
2023/11/17, 31, 14, , 22, 1, 3
2023/11/18, 37, 15, , 20, 1, 4
2023/11/19, 42, 11, , 16, , 1
2023/11/20, 36, 13, , 15, , 1
2023/11/21, 37, 10, , 18, , 1
2023/11/22, 33, 8, , 14, , 1
2023/11/23, 22, 10, , 14, , 1
2023/11/24, 39, 13, , 15, , 3
2023/11/25, 49, 11, , 15, , 2
2023/11/26, 40, 7, , 10, , 1
2023/11/27, 26, 11, , 12, , 1
2023/11/28, 43, 9, , 14, , 1
2023/11/29, 33, 8, , 11, , 2
2023/11/30, 32, 9, , 14, , 2
2023/10/1, 45, 12, , 13, , 2
2023/10/2, 37, 10, , 11, , 2
2023/10/3, 31, 23, , 11, , 1
2023/10/4, 50, 13, , 13, , 1
2023/10/5, 40, 11, , 12, , 1
2023/10/6, 49, 13, , 12, , 3
2023/10/7, 56, 6, , 7, , 1
2023/10/8, 28, 7, , 7, , 1
2023/10/9, 30, 11, , 10, , 2
2023/10/10, 49, 17, , 13, , 3
2023/10/11, 53, 11, , 12, , 1
2023/10/12, 37, 13, , 13, , 2
2023/10/13, 39, 10, , 14, , 1
2023/10/14, 28, 11, , 12, , 1
2023/10/15, 34, 10, , 14, , 2
2023/10/16, 31, 8, , 11, , 1
2023/10/17, 29, 9, , 11, , 2
2023/10/18, 30, 9, , 13, , 2
2023/10/19, 32, 9, , 11, , 1
2023/10/20, 33, 11, , 9, , 3
2023/10/21, 35, 16, , 11, 1, 5
2023/10/22, 40, 8, , 7, , 2
2023/10/23, 33, 10, , 10, 1, 1
2023/10/24, 34, 10, , 10, 2, 1
2023/10/25, 32, 10, , 6, 2, 1
2023/10/26, 29, 7, , 8, , 1
2023/10/27, 27, 7, , 8, , 1
2023/10/28, 27, 9, , 7, , 1
2023/10/29, 35, 8, , 11, , 1
2023/10/30, 30, 12, , 14, , 3
2023/10/31, 39, 17, , 16, , 3
2023/7/1, 45, 18, , 9, 1, 1
2023/7/2, 44, 27, , 13, 1, 3
2023/7/3, 49, 28, , 17, 1, 2
2023/7/4, 52, 35, , 18, 1, 3
2023/7/5, 61, 26, , 17, 1, 1
2023/7/6, 58, 25, , 17, 1, 2
2023/7/7, 57, 20, , 16, 1, 2
2023/7/8, 45, 29, , 11, 1, 4
2023/7/9, 49, 17, , 7, 1, 
2023/7/10, 32, 12, , 9, 1, 1
2023/7/11, 27, 16, , 11, 1, 2
2023/7/12, 31, 15, , 15, 1, 2
2023/7/13, 42, 17, , 14, 1, 2
2023/7/14, 43, 16, , 13, 1, 2
2023/7/15, 40, 17, , 13, 1, 1
2023/7/16, 43, 31, , 19, 1, 5
2023/7/17, 57, 28, , 23, 1, 5
2023/7/18, 57, 6, , 7, , 1
2023/7/19, 18, 17, 19, 9, 1, 1
2023/7/20, 33, 23, 22, 16, 1, 1
2023/7/21, 41, 18, 24, 12, 1, 2
2023/7/22, 38, 19, 21, 15, 1, 2
2023/7/23, 44, 16, 11, 14, 1, 1
2023/7/24, 41, 23, 23, 13, , 3
2023/7/25, 56, 30, 24, 12, 1, 1
2023/7/26, 56, 19, 23, 9, 1, 1
2023/7/27, 45, 18, , 14, 1, 1
2023/7/28, 48, 12, , 9, , 3
2023/7/29, 30, , , , , 
2023/8/1, 50, 27, , 13, 1, 3
2023/8/2, 61, 23, 11, 15, 1, 3
2023/8/3, 57, 23, 29, 14, , 3
2023/8/4, 56, 28, 37, 16, , 5
2023/8/5, 53, 24, 36, 13, , 2
2023/8/6, 56, 28, 27, 6, , 
2023/8/7, 45, 19, 22, 10, , 1
2023/8/8, 43, 18, 20, 14, , 1
2023/8/9, 38, , 19, 14, , 1
2023/8/11, 55, 23, , 12, , 1
2023/8/12, 57, 16, , 9, , 2
2023/8/13, 40, 15, , 10, , 1
2023/8/14, 38, 23, , 14, , 2
2023/8/15, 48, 24, , 16, , 3
2023/8/16, 46, 31, , 17, , 8
2023/8/17, 59, 49, , 31, , 9
2023/8/18, 75, 23, , 16, , 1
2023/8/19, 54, 21, , 14, , 3
2023/8/20, 47, 10, , 9, , 1
2023/8/21, 27, 30, , 20, , 4
2023/8/22, 56, 20, , 14, , 1
2023/8/23, 50, , , 12, , 1
2023/9/3, 47, 32, 17, 17, , 5
2023/9/4, 55, 27, 2, 18, , 3
2023/9/5, 44, 24, , 13, , 1
2023/9/6, 34, 15, , 13, , 1
2023/9/7, 26, 12, , 11, , 1
2023/9/8, 27, 10, , 7, , 1
2023/9/9, 30, 23, , 16, , 2
2023/9/10, 54, 32, , 15, , 3
2023/9/11, 66, 28, , 14, 1, 4
2023/9/12, 65, 24, , 18, 1, 7
2023/9/13, 61, 21, , 18, , 5
2023/9/14, 58, 23, , 19, , 3
2023/9/15, 58, 16, , 14, , 2
2023/9/16, 42, 21, , 13, , 7
2023/9/17, 54, 20, , 16, , 4
2023/9/18, 52, 26, , 16, , 5
2023/9/19, 66, 25, , 17, , 2
2023/9/20, 60, 23, , 15, , 3
2023/9/21, 60, 25, , 19, 1, 5
2023/9/22, 66, 21, , 22, 1, 2
2023/9/23, 57, 23, , 17, 1, 2
2023/9/24, 57, 13, , 16, , 1
2023/9/25, 40, 22, , 19, , 6
2023/9/26, 58, 27, , 21, 1, 9
2023/9/27, 64, 24, , 19, 1, 7
2023/9/28, 60, 24, , 21, , 3
2023/9/29, 58, 26, , 20, , 4
2023/9/30, 64, 16, , 10, , 1
2023/4/1, 50, 18, , 16, , 1
2023/4/2, 52, 25, , 22, 1, 2
2023/4/3, 58, 23, , 23, , 2
2023/4/4, 56, 25, , 16, , 1
2023/4/5, 54, 17, , 9, , 1
2023/4/6, 39, 19, , 14, , 1
2023/4/7, 40, 26, , 16, 2, 1
2023/4/8, 57, 35, , 23, , 1
2023/4/9, 72, 41, , 31, , 3
2023/4/10, 75, 56, , 38, , 6
2023/4/11, 92, , , , 1, 
2023/4/13, 59, 14, , 6, , 
2023/4/14, 31, 16, , 13, , 
2023/4/15, 43, 20, , 18, , 1
2023/4/16, 53, 32, , 24, 1, 2
2023/4/17, 66, 35, , 28, 1, 2
2023/4/18, 67, 22, , 19, , 1
2023/4/19, 57, 25, , 23, 1, 2
2023/4/20, 55, 16, , 14, , 1
2023/4/21, 39, 19, , 16, , 3
2023/4/22, 44, 69, , 29, , 9
2023/4/23, 106, 40, , 28, , 3
2023/4/24, 66, 28, , 18, 1, 2
2023/4/25, 55, 9, , 11, , 1
2023/4/26, 32, 24, , 20, , 2
2023/4/27, 54, 19, , 19, , 2
2023/4/28, 47, 11, , 14, , 2
2023/4/29, 30, 19, , 14, , 2
2023/4/30, 45, 10, , 13, , 1
2023/5/1, 33, 10, , 15, , 1
2023/5/2, 30, 20, , 14, , 1
2023/5/3, 47, 18, , 19, , 1
2023/5/4, 36, 19, , 19, , 3
2023/5/5, 38, 17, , 13, , 1
2023/5/6, 31, 14, , 13, , 1
2023/5/7, 37, 31, , 19, , 4
2023/5/8, 48, 38, , 20, 1, 4
2023/5/9, 54, 25, , 22, , 3
2023/5/10, 48, 31, , 25, 1, 3
2023/5/11, 55, 27, , 22, , 2
2023/5/12, 49, 31, , 18, , 2
2023/5/13, 51, 13, , 8, , 1
2023/5/14, 33, 22, , 16, , 5
2023/5/15, 44, 23, , 17, 1, 3
2023/5/16, 45, 23, , 22, 1, 2
2023/5/17, 48, 32, , 22, 1, 2
2023/5/18, 58, 21, , 10, , 1
2023/5/19, 35, 16, , 8, , 
2023/5/20, 32, 11, , 11, , 2
2023/5/21, 37, 30, , 18, , 5
2023/5/22, 64, 21, , 20, 1, 1
2023/5/23, 51, 25, , 16, 1, 2
2023/5/24, 52, 42, , 20, 1, 5
2023/5/25, 77, 37, , 17, 1, 5
2023/5/26, 61, 37, , 14, , 2
2023/5/27, 46, 20, , 10, , 1
