date, pm25, pm10, o3, no2, so2, co
2023/12/1, 34, 15, , 26, 1, 2
2023/12/2, 48, 9, , 22, 1, 1
2023/12/3, 32, 9, , 18, , 2
2023/12/4, 35, 9, , 21, , 1
2023/12/5, 31, 20, , 25, 1, 5
2023/12/6, 57, 14, , 24, 2, 2
2023/12/7, 48, 11, , 21, 2, 2
2023/12/8, 43, 11, , 20, 2, 1
2023/12/9, 41, 9, , 20, 2, 1
2023/12/10, 34, 7, , 19, 1, 1
2023/12/11, 18, 7, , 19, , 
2023/12/12, 15, 32, , 20, 1, 1
2023/12/13, 39, 50, , 19, 1, 2
2023/12/14, 47, 35, , 24, 3, 1
2023/12/15, 41, 13, , 16, , 1
2023/12/16, 24, 3, , 14, 1, 1
2023/12/17, 7, 5, , 17, , 1
2023/12/18, 10, 2, , 11, 1, 
2023/12/19, 5, , , , , 
2023/11/1, 40, 7, , 12, , 1
2023/11/2, 19, 12, 4, 13, , 2
2023/11/3, 18, 15, 4, 13, , 1
2023/11/4, 21, 16, 5, 10, , 
2023/11/5, 33, 6, 7, 14, , 1
2023/11/6, 15, 7, 8, 13, , 
2023/11/7, 13, 13, 5, 14, , 1
2023/11/8, 17, 25, 4, 19, , 3
2023/11/9, 29, 15, 2, 16, , 
2023/11/10, 21, 17, 10, 16, , 1
2023/11/11, 29, 7, 10, 15, 1, 1
2023/11/12, 18, 5, 7, 10, , 1
2023/11/13, 11, 4, 9, 12, , 
2023/11/14, 7, 16, 3, 18, , 1
2023/11/15, 19, 12, , 13, , 1
2023/11/16, 22, 8, 15, 14, , 
2023/11/17, 13, 21, 9, 29, 1, 2
2023/11/18, 31, 20, 2, 29, , 2
2023/11/19, 43, 14, 8, 21, 2, 2
2023/11/20, 30, 10, 11, 14, , 
2023/11/21, 19, 6, , 18, , 1
2023/11/22, 15, 3, , 17, , 1
2023/11/23, 5, 12, , 23, 1, 2
2023/11/24, 38, 14, , 21, 1, 2
2023/11/25, 49, 5, , 19, 1, 2
2023/11/26, 19, 5, , 20, 1, 1
2023/11/27, 14, 7, , 13, , 1
2023/11/28, 23, 10, , 22, 2, 1
2023/11/29, 28, 6, , 18, 1, 1
2023/11/30, 19, 10, , 21, 1, 2
2023/10/1, 47, 12, 2, 20, , 3
2023/10/2, 27, 12, 6, 22, , 2
2023/10/3, 23, 22, , , , 1
2023/10/4, 41, 14, , , , 1
2023/10/5, 29, 7, , , , 1
2023/10/6, 22, 4, 8, 22, , 1
2023/10/7, 15, 3, 13, 9, , 1
2023/10/8, 6, 2, 3, 7, , 1
2023/10/9, 8, 5, , , , 1
2023/10/10, 17, 11, , , , 2
2023/10/11, 29, 11, , , , 1
2023/10/12, 34, 10, 12, 20, , 1
2023/10/13, 19, 9, 8, 22, , 1
2023/10/14, 28, 8, 11, 20, , 1
2023/10/15, 26, 10, , 21, , 3
2023/10/16, 27, 5, 3, 16, , 1
2023/10/17, 15, , , , , 
2023/10/25, 5, 12, , 12, 2, 1
2023/10/26, 13, 4, , 15, 1, 1
2023/10/27, 9, 4, , 11, , 1
2023/10/28, 12, 5, , 9, , 1
2023/10/29, 17, 7, , 14, , 1
2023/10/30, 22, 14, , 17, , 2
2023/10/31, 35, 18, , 17, , 1
2023/7/1, 22, 11, 16, 12, , 1
2023/7/2, 22, 16, 15, 18, , 1
2023/7/3, 28, 18, 22, 17, , 1
