date, pm25, pm10, o3, no2, so2, co
2023/12/1, 43, 35, 3, 18, 1, 2
2023/12/2, 54, 25, 7, 15, 1, 1
2023/12/3, 39, 19, 4, 12, 1, 1
2023/12/4, 41, 19, 1, 15, , 2
2023/12/5, 40, 32, , 18, , 4
2023/12/6, 56, 32, 1, 17, , 3
2023/12/7, 48, 23, 1, 14, , 2
2023/12/8, 45, 25, 2, 13, , 1
2023/12/9, 45, 20, 7, 15, , 1
2023/12/10, 45, 16, 12, 11, , 1
2023/12/11, 28, , 11, 11, , 1
2023/12/12, 26, 28, , , , 
2023/12/14, 74, 47, 5, 15, , 1
2023/12/15, 64, 28, , 12, , 2
2023/12/16, 41, 8, 15, 11, , 1
2023/12/17, 16, 12, 16, 13, , 1
2023/12/18, 18, 7, 8, 12, , 1
2023/12/19, 11, , , , , 
2023/11/1, 53, , 12, 10, , 1
2023/11/2, 24, , 15, 11, , 2
2023/11/3, 27, , 7, 11, , 2
2023/11/4, 31, , 9, 7, , 1
2023/11/5, 37, 15, 7, 12, , 1
2023/11/6, 25, 10, 9, 10, , 2
2023/11/7, 23, 25, 11, 8, , 1
2023/11/8, 23, 52, , , , 
2023/11/10, 32, 36, 11, 13, , 2
2023/11/11, 38, 16, 11, 10, , 1
2023/11/12, 26, 7, 8, 9, , 1
2023/11/13, 18, 7, 9, 10, , 1
2023/11/14, 17, 31, 8, 15, , 2
2023/11/15, 34, 36, 8, 9, , 1
2023/11/16, 29, 35, 16, 9, , 1
2023/11/17, 22, 51, 7, 20, , 2
2023/11/18, 43, 48, , 22, , 3
2023/11/19, 51, 43, 7, 15, , 1
2023/11/20, 41, 29, 9, 8, , 1
2023/11/21, 29, 13, , , , 
2023/11/23, 11, 21, 3, 16, , 2
2023/11/24, 45, 29, , 16, , 2
2023/11/25, 53, 29, , , , 
2023/11/27, 25, 13, 6, 10, , 1
2023/11/28, 32, 17, 10, 14, , 1
2023/11/29, 35, 13, 10, 11, , 1
2023/11/30, 28, 17, 13, 13, , 2
2023/10/1, 39, 17, 8, 16, , 2
2023/10/2, 25, 16, 15, 13, , 1
2023/10/3, 22, 27, 22, 13, , 1
2023/10/4, 38, , , 17, , 
2023/10/5, 13, 8, 12, 13, , 1
2023/10/6, 12, 10, 12, 17, , 3
2023/10/7, 11, 8, 16, 9, , 1
2023/10/8, 8, 8, 7, 11, , 1
2023/10/9, 10, 11, 9, 9, , 1
2023/10/10, 10, 17, 15, 12, , 2
2023/10/11, 14, 19, 15, 12, , 1
2023/10/12, 16, 16, 17, 9, , 2
2023/10/13, 10, 20, 15, 13, , 1
2023/10/14, 18, 17, 16, 8, , 1
2023/10/16, 16, 12, 8, 10, , 1
2023/10/17, 9, 12, 11, 10, , 2
2023/10/18, 10, 13, 8, 14, , 2
2023/10/19, 16, 12, 2, 13, , 2
2023/10/20, 22, 16, 4, 10, , 2
2023/10/21, 19, 27, 1, 14, , 3
2023/10/22, 31, 16, , 10, , 4
2023/10/23, 28, 14, 16, 9, , 1
2023/10/24, 18, 16, 14, 9, , 1
2023/10/26, 28, 14, 9, 12, , 2
2023/10/27, 24, 21, 1, 9, , 1
2023/10/28, 28, 9, 2, 6, , 1
2023/10/29, 26, 14, 2, 12, , 2
2023/10/30, 31, 18, 8, 12, , 2
2023/10/31, 38, , 10, 16, , 2
2023/7/1, 28, 16, 29, 9, , 1
2023/7/2, 28, 22, 30, 14, , 2
2023/7/3, 31, 26, 39, 16, , 2
2023/7/4, 35, 30, 30, 19, , 1
2023/7/5, 46, 29, 39, 19, , 2
2023/7/6, 51, 30, 22, 21, , 2
2023/7/7, 51, 13, 26, 14, , 1
2023/7/8, 36, 18, 33, 15, , 2
2023/7/9, 31, 14, 16, 7, , 1
2023/7/10, 21, 11, 6, 9, , 1
2023/7/11, 17, 12, 5, 10, , 1
2023/7/12, 20, 15, 3, 14, , 1
2023/7/13, 29, 15, 3, 13, , 1
2023/7/14, 29, 15, 10, 15, , 2
2023/7/15, 31, 17, 27, 12, , 1
2023/7/16, 35, 26, 37, 18, , 3
2023/7/17, 47, 29, 31, 27, , 6
2023/7/18, 50, 10, 23, 8, , 
2023/7/19, 18, 13, 27, 9, , 
2023/7/20, 22, 16, 14, 14, , 
2023/7/21, 27, 15, 14, 9, , 
2023/7/22, 23, 27, 12, 26, , 
2023/7/23, 45, , 5, , , 
2023/7/25, 42, 25, 8, 20, , 
2023/7/26, 51, 19, 15, 15, , 
2023/7/27, 38, 18, 4, 18, , 
2023/7/28, 42, 11, 6, 13, , 
2023/7/29, 25, 22, , 16, , 
2023/7/30, 43, 32, 13, 28, , 
2023/7/31, 43, 33, 15, 24, , 
2023/8/1, 49, 38, 18, 25, , 
2023/8/2, 55, 35, 16, 25, , 
2023/8/3, 55, 49, 17, 43, , 
2023/8/4, 67, 27, 22, 21, , 
2023/8/5, 40, 37, 27, 22, , 
2023/8/6, 54, 28, 19, 14, , 
2023/8/7, 37, 29, 12, 17, , 
2023/8/8, 38, 17, 14, 12, , 
2023/8/9, 22, 15, , 11, , 
2023/8/10, 25, , , , , 
2023/8/12, 52, 22, 13, 14, , 2
2023/8/13, 35, 16, 10, 11, , 2
2023/8/14, 27, 20, 27, 16, , 2
2023/8/15, 33, 22, 29, 17, , 2
2023/8/16, 31, 26, 37, 22, 1, 4
2023/8/17, 43, 40, 15, 33, 1, 5
2023/8/18, 61, 22, 35, 15, 1, 2
2023/8/19, 43, 25, 27, 16, 1, 3
2023/8/20, 38, 11, 26, 9, , 1
2023/8/21, 19, 33, 13, 25, 1, 3
2023/8/22, 42, 20, 14, 15, , 2
2023/8/23, 28, 16, 8, 13, , 2
2023/8/24, 24, 20, 17, 15, , 2
2023/8/25, 31, 38, 12, 22, 1, 6
2023/8/26, 49, 22, 12, 16, , 3
2023/8/27, 35, 20, 22, 16, 1, 2
2023/8/28, 35, 36, 7, 19, 1, 2
2023/8/29, 41, 21, 14, 16, , 2
2023/8/30, 28, 39, 28, 22, 3, 3
2023/8/31, 52, 50, 34, 21, 2, 3
2023/9/1, 55, 47, 5, 30, 2, 4
2023/9/2, 64, 17, 21, 17, , 3
2023/9/3, 27, 28, 21, 19, , 5
2023/9/4, 42, 23, 26, 18, , 3
2023/9/5, 29, 26, 19, 12, , 2
2023/9/6, 27, 16, 16, 8, , 1
2023/9/7, 20, 13, 14, 8, , 1
2023/9/8, 19, 15, 8, 9, , 2
2023/9/9, 23, 25, 16, 12, , 2
2023/9/10, 41, 43, 3, 24, 1, 4
2023/9/11, 61, 42, 11, 23, 2, 3
2023/9/12, 58, 42, 17, 24, 1, 5
2023/9/16, 29, 21, 19, 16, , 3
2023/9/17, 33, 20, 9, 16, , 3
2023/9/18, 36, 42, 5, 22, 1, 5
2023/9/19, 59, 39, 32, 12, , 2
2023/9/20, 52, 34, 30, , , 2
2023/9/21, 50, 42, 32, 31, 1, 4
2023/9/22, 59, 45, 30, 30, 1, 3
2023/9/23, 53, 46, 30, 23, 1, 2
