date, pm25, pm10, o3, no2, so2, co
2023/12/1, 49, , 3, 22, , 3
2023/12/2, 62, , 10, 20, , 1
2023/12/3, 43, , 8, 12, , 1
2023/12/4, 48, , 8, 16, , 3
2023/12/5, 45, , , 22, , 6
2023/12/6, 67, , 1, 22, , 2
2023/12/7, 58, , 2, 18, , 2
2023/12/8, 51, , 2, 18, , 3
2023/12/9, 54, , 4, 19, , 2
2023/12/10, 54, , 8, 18, , 2
2023/12/11, 36, , 8, 20, , 1
2023/12/12, 34, , , , , 
2023/12/16, 46, , 29, 9, , 1
2023/12/17, 17, , 28, 10, , 1
2023/12/18, 21, , 14, 9, , 1
2023/12/19, 11, , , , , 
2023/11/1, 59, , 16, 11, , 1
2023/11/2, 25, , 18, 6, , 1
2023/11/3, 19, , 5, 16, , 
2023/11/4, 40, , 11, 11, , 1
2023/11/5, 49, , 12, 13, , 2
2023/11/6, 32, , 13, 9, , 1
2023/11/7, 25, , 13, 12, , 1
2023/11/8, 32, , 7, 16, , 3
2023/11/9, 38, , 10, 13, , 2
2023/11/10, 37, , 13, 14, , 2
2023/11/11, 46, , 17, 9, , 1
2023/11/12, 27, , 11, 9, , 1
2023/11/13, 18, , 13, 10, , 1
2023/11/14, 15, , 9, 15, , 3
2023/11/15, 32, , 16, 10, , 3
2023/11/16, 27, , 23, 10, , 1
2023/11/17, 22, , 3, 29, , 5
2023/11/18, 60, , 1, 27, , 4
2023/11/19, 64, , 10, 20, , 1
2023/11/20, 48, , 13, 10, , 
2023/11/21, 32, , , , , 
2023/11/23, 9, , 5, 20, , 3
2023/11/24, 47, , 4, 17, , 3
2023/11/25, 58, , , 19, , 4
2023/11/26, 55, , , , , 
2023/11/28, 37, , 12, 18, , 1
2023/11/29, 39, , 16, 14, , 1
2023/11/30, 30, , 14, 19, , 1
2023/10/1, 47, , 13, 14, , 2
2023/10/2, 32, , 21, 14, , 2
2023/10/3, 24, , 25, 13, , 1
2023/10/4, 45, , 15, 16, , 2
2023/10/5, 31, , 16, 13, , 1
2023/10/6, 25, , 21, 15, , 2
2023/10/7, 13, , 21, 7, , 1
2023/10/8, 15, , 14, 10, , 2
2023/10/9, 22, , 12, 10, , 1
2023/10/10, 24, , 20, 11, , 2
2023/10/11, 25, , 21, 10, , 1
2023/10/12, 40, , 27, 8, , 1
