date, pm25, pm10, o3, no2, so2, co
2023/12/1, 46, 19, , 23, 1, 2
2023/12/2, 59, 13, , 20, 1, 1
2023/12/3, 45, 10, , 15, , 2
2023/12/4, 50, 11, , 19, , 4
2023/12/5, 48, 19, , 27, , 6
2023/12/6, 62, 17, , 22, , 1
2023/12/7, 56, 14, , 17, , 2
2023/12/8, 52, 17, , 17, , 2
2023/12/9, 54, 13, , 14, , 
2023/12/10, 51, , , , , 
2023/12/16, 36, 6, , 10, , 1
2023/12/17, 16, 5, , 13, , 2
2023/12/18, 18, , , 10, , 1
2023/12/19, 9, , , , , 
2023/11/1, 53, 17, 12, 14, , 1
2023/11/2, 29, , 16, 11, , 
2023/11/3, 24, 9, 8, 11, , 1
2023/11/4, 28, 14, 8, 6, , 1
2023/11/5, 37, 6, , 10, , 1
2023/11/6, 22, 6, , 10, , 1
2023/11/7, 23, 14, , 11, , 1
2023/11/8, 32, 33, 6, 17, 1, 2
2023/11/9, 47, 21, 7, 13, , 2
2023/11/10, 36, 16, 15, 15, , 1
2023/11/11, 42, 7, 14, 8, , 1
2023/11/12, 21, 3, 11, 8, , 
2023/11/13, 17, 2, 13, 9, 1, 
2023/11/14, 14, , 10, 19, , 
2023/11/15, 40, , 8, 13, , 3
2023/11/16, 33, , 20, 14, , 
2023/11/17, 24, 40, , 28, 3, 4
2023/11/18, 52, 27, , 28, 3, 2
2023/11/19, 63, 24, , 23, 2, 1
2023/11/20, 40, 12, , 15, 1, 
2023/11/21, 33, , , 15, , 
2023/11/22, 33, , , 13, , 2
2023/11/23, 9, 17, , 20, 2, 2
2023/11/24, 49, 17, 1, 19, 2, 1
2023/11/25, 61, 12, 2, 21, 2, 3
2023/11/26, 49, , 7, 16, , 1
2023/11/27, 24, 11, 9, 13, , 
2023/11/28, 38, 13, 12, 18, 1, 1
2023/11/29, 39, 9, 13, 13, 1, 2
2023/11/30, 31, 13, , 18, , 
2023/10/1, 41, 14, , 14, , 4
2023/10/2, 27, 16, , 13, , 3
2023/10/3, 21, 23, 24, , , 
2023/10/6, 14, 4, 18, 11, , 1
2023/10/7, 12, 4, 18, 4, , 1
2023/10/8, 12, 3, 10, 7, 1, 1
2023/10/9, 20, , , 9, , 1
2023/10/10, 25, 13, , 16, 1, 2
2023/10/11, 39, 16, , 9, , 1
2023/10/12, 40, 13, , 10, , 2
2023/10/13, 26, 16, 22, 14, , 1
2023/10/14, 38, 11, 22, 12, , 3
2023/10/15, 35, 9, 3, 16, , 2
2023/10/16, 26, 8, 12, 10, , 3
2023/10/17, 19, 7, 12, 11, , 1
2023/10/18, 23, 8, 10, 17, 1, 2
2023/10/19, 31, 9, , 16, 1, 3
2023/10/20, 34, 14, , 9, 1, 1
2023/10/21, 29, 19, , 16, 2, 4
2023/10/22, 52, 6, , 11, , 2
2023/10/23, 31, 9, 15, 10, , 1
2023/10/24, 20, 15, 14, 16, , 1
2023/10/25, 20, 20, 16, 8, , 1
2023/10/26, 24, 10, 7, 10, , 1
2023/10/27, 16, 8, 1, 12, 1, 1
2023/10/28, 28, 4, 4, 8, 1, 
2023/10/29, 27, 8, , 11, 1, 
2023/10/30, 24, 13, , , 1, 
2023/7/1, 37, 17, , 11, , 2
2023/7/2, 38, 30, , 14, , 2
2023/7/3, 41, 40, , 20, , 1
2023/7/4, 48, 43, , 24, , 2
2023/7/5, 55, 44, , 25, , 2
2023/7/6, 55, 30, , , , 2
2023/7/7, 54, 16, , 13, 1, 1
2023/7/8, 41, 26, , 17, 2, 5
2023/7/9, 40, 12, , 8, , 1
2023/7/10, 23, 12, , 10, , 
2023/7/11, 19, 11, , 6, , 1
2023/7/12, 18, 13, , 13, , 2
2023/7/13, 34, 15, , 13, , 2
2023/7/14, 35, 12, , 10, , 2
2023/7/15, 34, 15, , 11, , 2
2023/7/16, 37, 34, 32, 16, 1, 3
2023/7/17, 52, 30, 28, , 1, 4
2023/7/18, 50, 4, 21, 8, 1, 
2023/7/19, 19, 11, 19, 9, , 1
2023/7/20, 24, 14, 23, 16, , 1
2023/7/21, 35, 14, 25, 12, , 1
2023/7/22, 30, 14, 24, 15, , 3
2023/7/23, 41, 13, 17, 15, , 1
2023/7/24, 33, 19, , 15, , 2
2023/7/25, 50, 22, 15, 16, , 2
2023/7/26, 49, 19, 26, 13, , 1
2023/7/27, 38, 16, 18, 16, , 1
2023/7/28, 46, 9, 11, 9, , 1
2023/7/29, 19, 14, 27, , 3, 
2023/7/31, 45, 22, 30, 20, 2, 6
2023/8/1, 59, 29, , 20, 1, 3
2023/8/2, 59, 28, , 21, 1, 4
2023/8/3, 58, 24, , 18, 1, 1
2023/8/4, 53, 20, , 18, 1, 3
2023/8/5, 48, 32, , 14, 1, 2
2023/8/6, 54, 24, , 9, 1, 1
2023/8/7, 40, 27, 20, 14, 1, 2
2023/8/8, 41, 20, 24, 11, 1, 
2023/8/9, 26, 19, , , 1, 
2023/8/12, 54, 16, 18, 10, 1, 2
2023/8/13, 34, 17, 16, 10, , 1
2023/8/14, 31, 26, 30, 12, 1, 3
2023/8/15, 42, 25, 32, 22, 1, 5
2023/8/16, 53, 53, 36, 26, 5, 4
2023/8/17, 53, 47, 17, 38, 2, 7
2023/8/18, 74, 22, 39, 18, 1, 3
2023/8/19, 56, 32, 32, 15, 2, 3
2023/8/20, 43, , 14, 11, , 1
2023/8/21, 25, , , 21, , 4
2023/8/22, 47, 14, , 15, 1, 3
2023/8/23, 35, 16, , 15, 1, 3
2023/8/24, 36, 32, , 17, 2, 4
2023/8/25, 44, 30, , 19, 4, 7
2023/8/26, 60, 22, 18, 12, 1, 3
2023/8/27, 37, 32, 21, , 2, 
2023/8/29, 57, 26, 15, 21, 1, 2
2023/8/30, 41, 38, 38, 19, 1, 2
2023/8/31, 54, 45, , 18, 1, 2
2023/9/1, 53, 33, , 24, 1, 3
2023/9/2, 65, 19, , 14, 1, 1
2023/9/3, 32, 32, 24, 15, 2, 4
2023/9/4, 47, 33, 28, 16, 2, 2
2023/9/5, 39, 30, 22, 14, , 
2023/9/6, 30, 24, 13, 12, , 1
2023/9/7, 23, 16, , 10, , 1
2023/9/8, 22, 14, , 11, , 1
2023/9/9, 28, 19, , 13, , 2
2023/9/10, 48, 44, 7, 17, , 4
2023/9/11, 74, 44, 18, 20, 1, 4
2023/9/12, 60, 53, 23, 17, 1, 4
2023/9/13, 49, 52, 29, 19, 1, 3
2023/9/14, 46, 41, , 22, , 3
2023/9/15, 53, 17, , 13, , 2
2023/9/16, 33, 37, , 12, 4, 4
2023/9/17, 41, 35, , 16, 1, 4
2023/9/18, 44, 47, , 22, 2, 3
2023/9/19, 62, 48, , 17, 1, 1
2023/9/20, 56, 31, , 16, 1, 3
2023/9/21, 56, 56, , 19, 2, 4
2023/9/22, 58, 56, , 19, 1, 3
2023/9/23, 48, 49, , 15, 2, 3
2023/9/24, 53, 19, , 14, 1, 1
2023/9/25, 38, 38, , 19, 3, 3
2023/9/26, 47, 46, , 21, 4, 7
2023/9/27, 56, 38, , 23, 3, 4
2023/9/28, 51, 44, , 25, 1, 5
2023/9/29, 55, 45, , 22, 1, 3
2023/9/30, 63, 21, , 11, , 1
2023/4/1, 46, 20, , 16, , 2
2023/4/2, 51, 36, , 32, , 3
2023/4/3, 59, 39, , 33, , 1
2023/4/4, 59, 47, , 23, , 4
2023/4/5, 57, 34, 32, 16, , 2
2023/4/6, 39, 36, 32, 16, , 2
2023/4/7, 35, 45, 36, 24, , 1
2023/4/8, 54, 26, 38, 23, , 1
2023/4/9, 71, 9, 34, 37, , 3
2023/4/10, 76, , 46, 37, , 5
2023/4/11, 78, , , 36, 1, 3
2023/4/12, 81, , , 35, 1, 2
2023/4/13, 76, 30, , 11, , 1
2023/4/14, 29, 42, , 16, , 1
2023/4/15, 37, 34, 41, 14, 1, 2
2023/4/16, 45, 47, 39, 26, 1, 
2023/4/17, 65, 72, 27, 47, 1, 2
2023/4/18, 82, 44, 45, 32, 1, 2
2023/4/19, 53, 67, 46, 29, 1, 4
2023/4/20, 55, 26, 41, 19, 1, 2
2023/4/21, 34, 33, 38, 19, 1, 2
2023/4/22, 39, 74, 42, 29, 2, 6
2023/4/23, 57, 74, 54, 29, 1, 3
2023/4/24, 62, 60, 38, 22, 1, 2
2023/4/25, 52, 9, 24, 18, 1, 1
2023/4/26, 29, 47, 11, 25, 1, 2
2023/4/27, 55, 22, 18, 22, 1, 2
2023/4/28, 43, 15, 32, 12, 2, 2
2023/4/29, 24, 31, 29, 17, 2, 4
2023/4/30, 40, 8, 26, 10, 2, 1
2023/5/1, 27, 16, 21, 19, 1, 2
2023/5/2, 24, 19, 24, 12, 1, 
2023/5/3, 42, 15, 32, 20, 1, 2
2023/5/4, 28, 19, 28, 18, 1, 1
2023/5/5, 30, 17, 27, 13, 1, 1
2023/5/6, 27, 15, 37, 14, 1, 2
2023/5/7, 32, 31, 35, 23, 1, 2
2023/5/8, 41, 39, 6, 26, 1, 4
2023/5/9, 47, 42, , 27, 1, 3
2023/5/10, 46, 48, 7, 26, 1, 2
2023/5/11, 29, 31, 45, 23, 1, 3
2023/5/12, 49, 42, 49, 23, 1, 3
2023/5/13, 49, 14, 32, 12, 1, 
2023/5/14, 32, 46, 34, 19, 1, 2
2023/5/15, 39, 52, 39, 21, 2, 3
2023/5/16, 42, 45, 50, 19, 1, 1
2023/5/17, 38, 49, 14, 22, , 3
2023/5/18, 54, 15, , 10, , 1
2023/5/19, 33, 14, , 8, , 1
2023/5/20, 24, 13, 19, 13, , 1
2023/5/21, 34, 32, 17, 24, 1, 2
2023/5/22, 54, 31, 18, 27, , 2
2023/5/23, 57, 33, 23, 22, , 3
2023/5/24, 52, 44, 7, 26, , 6
2023/5/25, 68, 37, 35, 19, , 6
2023/5/26, 58, 32, 33, 15, , 2
2023/5/27, 37, 17, 26, 9, , 1
2023/5/28, 23, 28, 34, 17, , 2
2023/5/29, 33, 68, 36, 25, , 3
2023/5/30, 48, 27, 16, 18, , 2
2023/5/31, 34, 24, , 16, , 
2023/6/1, 38, 36, 33, 22, 1, 3
2023/6/2, 53, 9, 13, 14, 1, 2
2023/6/3, 19, 12, 23, 10, 1, 1
2023/6/4, 12, 16, 20, 17, , 2
2023/6/5, 12, 18, 23, 13, , 1
2023/6/6, 18, 33, 26, 18, , 2
2023/6/7, 39, 21, 33, 18, , 2
2023/6/8, 38, 28, 32, 18, , 2
2023/6/9, 45, 13, 20, 9, , 
2023/6/10, 24, 12, 25, 7, 1, 
2023/6/11, 27, 20, 27, 8, 1, 1
2023/6/12, 14, 26, 31, 13, , 1
2023/6/13, 18, 32, 36, 20, 1, 
2023/6/14, 24, 35, 40, 21, 1, 1
2023/6/15, 28, 42, 39, 25, 1, 5
2023/6/16, 39, 35, 35, 18, , 2
2023/6/17, 32, 22, 35, 11, , 
2023/6/18, 16, 20, 37, 13, , 1
2023/6/19, 11, 30, 17, 17, , 2
2023/6/20, 48, 19, 29, 12, , 1
2023/6/21, 49, 37, 36, 28, , 4
2023/6/22, 58, 26, 15, 31, , 6
2023/6/23, 51, 13, 20, 13, , 1
2023/6/24, 31, 27, 34, 14, , 3
