date, pm25, pm10, o3, no2, so2, co
2023/12/1, 31, 16, , 27, , 2
2023/12/2, 47, 16, , 22, , 2
2023/12/3, 29, 11, , 19, , 1
2023/12/4, 34, 11, , 24, , 2
2023/12/5, 35, 16, , 26, , 3
2023/12/6, 46, 14, , 22, , 2
2023/12/7, 41, 11, , 17, , 2
2023/12/8, 33, 14, , 17, , 1
2023/12/9, 36, 11, , 18, , 1
2023/12/10, 30, 10, , 21, , 
2023/12/11, 18, 9, , 16, , 
2023/12/12, 12, 24, , 14, , 
2023/12/13, 22, , , , , 
2023/12/16, 23, 6, , 16, , 1
2023/12/17, 10, 7, , 21, , 3
2023/12/18, 12, 3, , 15, , 1
2023/12/19, 7, , , , , 
2023/11/1, 43, 12, , 17, , 3
2023/11/2, 36, 10, , 16, , 1
2023/11/3, 19, 9, , 9, , 
2023/11/4, 17, , , , , 
2023/11/9, 18, 16, , 18, , 1
2023/11/10, 21, 16, , 16, , 1
2023/11/11, 26, 5, , 11, , 1
2023/11/12, 10, , , , , 
2023/11/14, 8, 22, , 21, , 3
2023/11/15, 41, 14, , 15, , 3
2023/11/16, 25, 6, , 15, , 1
2023/11/17, 11, 15, , 30, , 4
2023/11/18, 29, 19, , 28, , 4
2023/11/19, 44, 11, , 19, , 
2023/11/20, 25, 9, , 16, , 2
2023/11/21, 18, 7, , 14, , 1
2023/11/22, 13, 6, , 19, , 1
2023/11/23, 7, 12, , 20, , 2
2023/11/24, 30, 13, , 20, , 2
2023/11/25, 42, , , , , 
2023/11/28, 26, 9, , 22, , 1
2023/11/29, 25, 8, , 15, , 1
2023/11/30, 18, 11, , 19, , 1
2023/10/1, 28, 8, , , , 3
2023/10/2, 16, 8, , , , 1
2023/10/3, 12, 16, , , , 1
2023/10/4, 25, 8, , , , 2
2023/10/5, 15, 5, , , , 
2023/10/6, 14, 3, , , , 1
2023/10/7, 7, 3, , , , 3
2023/10/8, 7, 4, , , , 2
2023/10/9, 14, 5, , , , 2
2023/10/10, 14, 8, , , , 1
2023/10/11, 16, 10, , , , 2
2023/10/12, 26, 7, , , 1, 1
2023/10/13, 15, 11, , , 1, 2
2023/10/14, 23, 8, , , , 2
2023/10/15, 21, 6, , , 1, 2
2023/10/16, 14, 4, , , 1, 1
2023/10/17, 9, 5, , , , 1
2023/10/18, 14, 7, , , , 2
2023/10/19, 22, 7, , , , 2
2023/10/20, 23, 9, , , , 3
2023/10/21, 22, 15, , , , 4
2023/10/22, 37, 6, , , , 3
2023/10/23, 20, 6, , , , 2
2023/10/24, 19, 7, , 13, , 
2023/10/25, 14, 8, , 12, , 1
2023/10/26, 15, 5, , 14, , 2
2023/10/27, 15, 7, , 15, , 
2023/10/28, 21, , , , , 
2023/10/30, 38, 13, , 21, , 2
2023/10/31, 38, 19, , 21, , 3
2023/7/1, 25, 11, , 11, , 2
2023/7/2, 25, 15, , 15, , 3
2023/7/3, 29, 16, , 19, , 2
2023/7/4, 35, 27, , 21, 1, 2
2023/7/5, 44, 20, , 24, 4, 2
2023/7/6, 44, 19, , 25, 5, 2
2023/7/7, 45, 10, , 17, 8, 3
2023/7/8, 26, 11, , 16, 4, 3
2023/7/9, 25, 7, , 8, 3, 2
2023/7/10, 12, 5, , 8, 2, 1
2023/7/11, 13, 7, , 13, 2, 
2023/7/12, 13, 9, , 20, 2, 1
2023/7/13, 22, 8, , 13, 2, 1
2023/7/14, 20, 8, , 12, 2, 2
2023/7/15, 21, 10, , 13, 1, 1
2023/7/16, 25, 17, , 22, 1, 5
2023/7/17, 42, 21, , 28, 2, 5
2023/7/18, 45, 5, , 9, 1, 3
2023/7/19, 10, 8, , 13, , 1
2023/7/20, 14, 10, , 19, , 1
2023/7/21, 20, 10, , 15, , 2
2023/7/22, 19, 11, , 17, 1, 1
2023/7/23, 28, 8, , 18, , 3
2023/7/24, 22, 12, , 18, 1, 3
2023/7/25, 40, , , , , 
2023/8/4, 42, 17, , 22, , 6
2023/8/5, 36, 26, , 24, 1, 6
2023/8/6, 50, 19, , 12, , 1
2023/8/7, 23, 16, , 18, , 3
2023/8/8, 35, 11, , 16, , 1
2023/8/9, 18, 9, , 17, , 6
2023/8/10, 17, , , 21, 1, 3
2023/8/31, 47, 23, , 23, , 3
2023/9/1, 44, 30, , 33, , 5
2023/9/2, 58, 13, , 22, , 4
2023/9/3, 24, 19, , 24, , 8
2023/9/4, 41, 13, , 22, , 5
2023/9/5, 24, 13, , 18, , 3
2023/9/6, 18, 7, , 12, , 2
2023/9/7, 9, 7, , 15, , 1
2023/9/8, 11, 8, , 13, , 2
2023/9/9, 19, 14, , 16, , 3
2023/9/10, 41, 26, , 22, , 6
2023/9/11, 60, 21, , 19, , 7
2023/9/12, 48, 23, , 26, , 9
2023/9/13, 45, 21, , 19, , 6
2023/9/14, 43, 22, , 25, , 6
2023/9/15, 47, 10, , 25, 1, 3
2023/9/16, 26, 13, , 25, , 5
2023/9/17, 33, 18, , , , 8
2023/9/18, 37, 20, , , , 7
2023/9/19, 47, 21, , , , 2
2023/9/20, 44, 20, , , , 3
2023/9/21, 43, 26, , , 1, 5
2023/9/22, 52, 22, , , 2, 4
2023/9/23, 41, 25, , , 3, 2
2023/9/24, 45, 15, , , , 3
2023/9/25, 27, 17, , , 1, 7
2023/9/26, 38, 25, , , 1, 12
2023/9/27, 47, 20, , , , 8
2023/9/28, 41, 23, , , , 5
2023/9/29, 40, 25, , , , 4
2023/9/30, 52, 12, , , , 1
2023/4/1, 36, 19, , 16, , 1
2023/4/2, 36, 34, , 27, 2, 2
2023/4/3, 43, 32, , 22, 1, 2
2023/4/4, 41, 40, , 16, 1, 3
2023/4/5, 38, 27, , 11, , 1
2023/4/6, 21, 19, , 10, , 
2023/4/7, 17, 31, , 18, 1, 2
2023/4/8, 41, 38, , 25, 4, 1
2023/4/9, 61, 39, , 35, 1, 2
2023/4/10, 61, , , , , 
2023/4/12, 61, 38, , 21, 1, 3
2023/4/13, 44, 16, , 5, , 1
2023/4/14, 12, 15, , 11, , 1
2023/4/15, 20, 20, , 17, 1, 1
2023/4/16, 36, 30, , 25, 2, 3
2023/4/17, 46, , , , , 
2023/4/20, 39, 18, , 19, 1, 2
2023/4/21, 21, 18, , 23, 2, 1
2023/4/22, 27, , , , , 
2023/4/24, 57, 27, , 21, 3, 2
2023/4/25, 39, 10, , 16, , 1
2023/4/26, 16, 26, , 25, 1, 6
2023/4/27, 41, 18, , 23, , 1
2023/4/28, 37, 10, , 12, , 3
2023/4/29, 19, 15, , 14, , 3
2023/4/30, 37, 5, , 11, , 2
2023/5/1, 17, 8, , 19, , 2
2023/5/2, 21, 11, , 17, , 1
2023/5/3, 28, 9, , 19, , 3
2023/5/4, 20, 11, , 18, , 2
2023/5/5, 23, 6, , 10, , 1
2023/5/6, 13, 8, , 13, , 1
2023/5/7, 19, 12, , 19, , 5
2023/5/8, 29, 17, , 22, 1, 5
2023/5/9, 37, 24, , 32, 1, 7
2023/5/10, 54, 22, , 25, 1, 6
2023/5/11, 44, 20, , 23, 1, 5
2023/5/12, 41, 22, , 20, 1, 5
2023/5/13, 39, 10, , 11, , 1
2023/5/14, 20, 14, , 16, 1, 6
2023/5/15, 31, 17, , 19, 1, 7
2023/5/16, 34, 20, , 23, 2, 4
2023/5/17, 39, 25, , 23, 1, 4
2023/5/18, 48, 10, , 11, , 1
2023/5/19, 21, 9, , 10, , 2
2023/5/20, 16, 12, , 10, , 2
2023/5/21, 24, 30, , 21, , 6
2023/5/22, 51, 20, , 25, 1, 4
2023/5/23, 43, 19, , 18, , 2
2023/5/24, 36, 32, , 23, 1, 8
2023/5/25, 61, 28, , 19, 1, 6
2023/5/26, 45, 19, , 15, , 4
2023/5/27, 28, 10, , 9, , 1
2023/5/28, 16, 14, , 17, , 2
2023/5/29, 22, 27, , 25, 1, 5
2023/5/30, 48, 16, , 17, , 3
2023/5/31, 30, 16, , 13, , 2
2023/6/1, 25, 20, , 21, 1, 3
2023/6/2, 33, 8, , 14, , 3
2023/6/3, 20, 9, , 10, , 1
2023/6/4, 15, 13, , 17, , 2
2023/6/5, 21, 11, , 13, , 2
2023/6/6, 16, 20, , 17, , 2
2023/6/7, 25, , , , , 
2023/6/9, 28, 9, , 9, , 2
2023/6/10, 14, 9, , 8, , 1
2023/6/11, 15, 10, , 8, , 1
2023/6/12, 13, 14, , 13, , 2
2023/6/13, 23, 18, , 18, , 2
2023/6/14, 29, 19, , 20, 1, 5
2023/6/15, 34, 23, , 24, 1, 4
2023/6/16, 47, 22, , 17, 1, 3
2023/6/17, 42, 12, , 10, 1, 
2023/6/18, 24, 10, , 12, , 2
2023/6/19, 16, 16, , 17, 1, 3
2023/6/20, 27, 12, , 15, 1, 2
2023/6/21, 21, 23, , 19, 1, 5
2023/6/22, 40, 18, , 18, , 1
2023/6/23, 34, 9, , 12, , 3
2023/6/24, 24, 14, , 14, 1, 5
2023/6/25, 35, 21, , 19, 1, 6
2023/6/26, 44, 11, , 15, , 3
2023/6/27, 26, 11, , 12, , 1
2023/6/28, 24, 8, , 14, , 2
2023/6/29, 20, 12, , 17, , 1
2023/6/30, 31, 10, , 14, , 2
2023/1/2, 10, 3, , 19, , 1
2023/1/3, 14, 4, , 11, 1, 
2023/1/4, 16, 5, , 14, , 
2023/1/5, 17, 11, , 14, , 1
2023/1/6, 39, 12, , 23, 1, 2
2023/1/7, 39, 12, , 35, 2, 5
2023/1/8, 37, 11, , 23, 1, 2
2023/1/9, 38, 7, , 17, 1, 1
2023/1/10, 19, 7, , 18, 1, 1
2023/1/11, 16, 11, , 16, , 1
2023/1/12, 20, 8, , 15, , 
2023/1/13, 20, 15, , 15, , 1
2023/1/14, 29, 13, , 15, 1, 1
2023/1/15, 25, , , , , 
2023/1/17, 29, 16, , 15, , 1
2023/1/18, 46, , , , , 
2023/1/21, 17, 13, , 18, , 1
2023/1/22, 40, 12, , 19, , 
2023/1/23, 36, 7, , 21, , 1
2023/1/24, 20, 6, , 16, , 1
2023/1/25, 18, 6, , 15, , 1
2023/1/26, 20, 5, , 16, , 1
2023/1/27, 19, 9, , 20, , 1
2023/1/28, 31, 5, , 19, , 
2023/1/29, 17, 4, , 12, , 1
2023/1/30, 11, 7, , 12, , 
2023/1/31, 25, 9, , 15, , 1
2023/2/1, 37, 11, , 17, , 1
2023/2/2, 39, 11, , 18, , 1
2023/2/3, 39, 8, , 19, , 2
2023/2/4, 28, 6, , 13, , 2
2023/2/5, 23, 9, , 18, , 3
2023/2/6, 30, 10, , 20, , 
2023/2/7, 34, 6, , 19, , 
2023/2/8, 19, 6, , 21, , 1
2023/2/9, 19, 7, , 11, , 1
2023/2/10, 26, 7, , 12, , 1
2023/2/11, 24, 5, , 10, , 1
2023/2/12, 18, 5, , 26, , 1
2023/2/13, 14, 6, , 13, , 1
2023/2/14, 17, 4, , 11, , 
2023/2/15, 13, 4, , 14, , 1
2023/2/16, 19, 11, , 23, , 1
2023/2/17, 43, 9, , 17, , 1
2023/2/18, 34, 9, , 12, , 
2023/2/19, 31, 14, , 20, , 1
2023/2/20, 50, 22, , 24, , 1
2023/2/21, 67, 18, , 16, 1, 1
2023/2/22, 56, 11, , 18, , 1
2023/2/23, 37, 11, , 20, , 2
2023/2/24, 36, 10, , 19, , 1
2023/2/25, 32, 5, , 9, , 1
2023/2/26, 20, 7, , 12, , 1
2023/2/27, 26, 5, , 17, , 1
2023/2/28, 14, 5, , 15, , 1
2023/3/1, 11, 4, , 15, , 
2023/3/2, 11, 6, , 19, , 1
2023/3/3, 12, 5, , 20, , 1
2023/3/4, 14, 6, , 14, , 
2023/3/5, 22, 6, , 22, , 1
2023/3/6, 18, 6, , 17, , 1
2023/3/7, 20, 13, , 25, 1, 3
2023/3/8, 39, , , , , 
2023/3/11, 20, 4, , 12, , 1
2023/3/12, 15, 7, , 16, , 
2023/3/13, 22, 8, , 19, , 
2023/3/14, 22, 11, , 13, 1, 1
2023/3/15, 28, 15, , 23, , 3
2023/3/16, 44, 12, , 14, , 1
2023/3/17, 16, 17, , 18, , 
2023/3/18, 22, 18, , 26, 2, 1
2023/3/19, 29, 24, , 35, 1, 4
2023/3/20, 40, 17, , 26, , 1
2023/3/21, 26, 7, , 12, , 2
2023/3/22, 22, , , , , 
2023/3/25, 21, 11, , 18, 1, 3
2023/3/26, 36, 8, , 18, , 1
2023/3/27, 17, 17, , 18, , 1
2023/3/28, 24, 11, , 12, , 1
2023/3/29, 20, 12, , 16, , 2
2023/3/30, 17, 15, , 14, , 1
2023/3/31, 21, 15, , 17, , 2
2022/10/2, 22, 10, , 11, 1, 1
