date, pm25, pm10, o3, no2, so2, co
2023/12/1, 49, , 14, 20, , 3
2023/12/2, 63, , 3, 19, , 1
2023/12/3, 44, , 3, 11, , 1
2023/12/4, 47, , 8, 17, , 2
2023/12/5, 49, , , 18, , 4
2023/12/6, 57, , 1, 26, , 3
2023/12/7, 60, , 2, 22, , 3
2023/12/8, 50, , 2, 22, , 2
2023/12/9, 53, , 4, 24, , 2
2023/12/10, 49, , 8, 22, , 1
2023/12/11, 35, , 8, 22, , 1
2023/12/12, 33, , , 23, , 1
2023/12/13, 56, , , 25, , 2
2023/12/14, 72, , , 21, , 1
2023/12/15, 67, , , 12, , 1
2023/12/16, 40, , , 10, , 1
2023/12/17, 20, , , , , 
2023/11/2, 20, , 8, 12, , 1
2023/11/3, 28, , 18, 22, , 1
2023/11/4, 38, , 5, , , 
2023/11/7, 24, , 13, 12, , 1
2023/11/8, 32, , 13, 14, , 1
2023/11/9, 40, , 7, 12, , 1
2023/11/10, 36, , 10, 13, , 1
2023/11/11, 48, , 13, 18, , 1
2023/11/12, 24, , 17, 11, , 1
2023/11/13, 18, , 11, 8, , 1
2023/11/14, 14, , 13, 12, , 1
2023/11/15, 27, , 9, 9, , 
2023/11/16, 19, , 16, 12, , 
2023/11/17, 26, , 23, 23, 1, 1
2023/11/18, 47, , 3, 24, 1, 4
2023/11/19, 60, , 1, 19, 1, 2
2023/11/20, 47, , 10, 11, , 
2023/11/21, 31, , 13, 10, , 1
2023/11/22, 31, , , 11, , 
2023/11/23, 12, , 25, 20, , 2
2023/11/24, 49, , 5, 24, , 3
2023/11/25, 61, , 4, 14, , 1
2023/11/26, 33, , , 17, , 1
2023/11/27, 25, , , 13, , 1
2023/11/28, 37, , 8, 25, , 1
2023/11/29, 45, , 12, 15, , 2
2023/11/30, 29, , 16, 17, , 1
2023/10/1, 45, 14, 13, 8, , 1
2023/10/2, 26, 12, 21, 5, , 
2023/10/3, 25, 23, 25, 7, , 1
2023/10/4, 46, 16, 15, 7, , 
2023/10/7, 10, 7, 21, 4, , 
2023/10/8, 14, 4, 14, 1, , 1
2023/10/9, 18, 9, 12, , , 1
2023/10/10, 25, 13, 20, , , 1
2023/10/11, 23, 13, 21, , , 1
2023/10/12, 37, 17, 27, , , 3
2023/10/13, 25, 14, 21, , , 1
2023/10/14, 39, 16, 23, , , 
2023/10/15, 50, 14, 3, , , 
2023/10/16, 28, 9, 15, , , 1
2023/10/17, 22, 10, 15, , , 2
2023/10/18, 23, 11, 8, , , 1
2023/10/19, 31, 8, 2, , , 1
2023/10/20, 29, , 7, , , 2
2023/10/21, 33, , 1, , , 2
2023/10/22, 54, 10, , , , 4
2023/10/23, 31, 14, 17, , , 1
2023/10/24, 33, 26, 15, , , 2
2023/10/25, 24, 23, 18, , , 
2023/10/27, 30, , 2, 14, , 1
2023/10/28, 28, , 4, 8, 1, 
2023/10/29, 31, , , 13, 1, 2
2023/10/30, 33, , , 9, , 1
2023/10/31, 38, , , , , 
2023/7/1, 36, 18, 35, 7, , 
2023/7/2, 36, 26, 37, 13, , 2
2023/7/3, 40, 23, 51, 16, , 1
2023/7/4, 45, 31, 34, 19, , 1
2023/7/5, 56, 31, 59, 21, , 1
2023/7/6, 57, 25, 33, 14, , 1
2023/7/7, 51, 17, 37, 12, , 1
2023/7/8, 32, 23, 39, 15, , 
2023/7/9, 36, 13, 17, 8, , 1
2023/7/10, 20, 12, 17, 8, , 1
2023/7/11, 18, 11, 22, 7, , 
2023/7/12, 22, 13, 13, 10, , 1
2023/7/13, 29, 17, 15, 10, , 1
2023/7/14, 33, 13, 20, 9, , 1
2023/7/15, 31, 18, 28, 10, , 3
2023/7/16, 38, 29, 41, 16, 1, 1
2023/7/17, 49, 25, 20, 19, , 2
2023/7/18, 50, 10, 25, 7, , 1
2023/7/19, 18, 14, 27, 6, , 1
2023/7/20, 25, 16, 31, 8, , 1
2023/7/21, 28, 16, 32, 8, , 1
2023/7/22, 29, 20, 30, 9, , 1
2023/7/23, 37, 13, 16, 9, , 1
2023/7/24, 29, 17, 20, 10, , 1
2023/7/25, 39, 24, 18, 12, , 1
2023/7/26, 55, 20, 30, 9, , 1
2023/7/27, 32, 15, 15, 8, , 1
2023/7/28, 36, 16, 16, 7, , 
2023/7/29, 21, 23, 37, 7, , 5
2023/7/30, 58, 24, 1, , , 
2023/8/1, 63, 40, 32, 19, , 2
2023/8/2, 63, 39, 39, 22, , 3
2023/8/3, 64, 30, 37, 13, , 3
2023/8/4, 53, 31, 46, 9, 1, 1
2023/8/5, 43, 45, 50, 22, 1, 3
2023/8/6, 67, 34, 43, 18, , 1
2023/8/7, 44, 28, 24, 14, , 2
2023/8/8, 40, 12, 27, 6, , 1
2023/8/9, 21, 15, 37, 8, 1, 1
2023/8/10, 34, 31, 20, 17, , 2
2023/8/11, 46, 30, 17, 17, 2, 2
2023/8/12, 59, 18, 19, 12, , 2
2023/8/13, 37, 13, 16, 7, 1, 1
2023/8/14, 46, 21, 36, 9, 1, 1
2023/8/15, 66, 24, 38, 11, 1, 1
2023/8/16, 48, 28, 41, 13, 4, 2
2023/8/17, 53, 40, 9, 19, 2, 2
2023/8/18, 61, 20, 42, 9, , 1
2023/8/19, 48, 22, 1, 10, , 1
2023/8/20, 48, 14, 33, 8, , 2
2023/8/21, 20, 38, 17, 14, 1, 3
2023/8/22, 49, 16, 17, 8, 1, 1
2023/8/23, 32, 15, 14, 9, , 1
2023/8/24, 26, 30, 25, 10, , 2
2023/8/25, 33, 31, 15, 11, , 3
2023/8/26, 49, 17, 22, 8, , 2
2023/8/27, 37, 24, 27, 11, , 2
2023/8/28, 38, 22, 10, 20, , 1
2023/8/29, 49, 19, 23, 12, , 2
2023/8/30, 30, 46, 33, 28, , 2
2023/8/31, 59, 46, 48, 29, , 4
2023/9/1, 64, 38, 12, 27, , 4
2023/9/2, 75, 22, 32, 8, , 1
2023/9/3, 31, 25, 28, 9, , 2
2023/9/4, 40, 18, 32, 10, , 3
2023/9/5, 45, 19, 27, 8, , 
2023/9/6, 36, 12, 21, 8, , 1
2023/9/7, 23, 11, 21, 8, , 1
2023/9/8, 19, 14, 12, 8, , 1
2023/9/9, 22, 23, 22, , , 
2023/9/12, 69, 45, 16, 24, , 4
2023/9/13, 59, 40, 25, 25, , 4
2023/9/14, 58, 32, 30, 24, , 2
2023/9/15, 56, 17, 17, 14, , 1
2023/9/16, 26, 25, 21, 16, , 2
2023/9/17, 39, 38, 7, 15, , 2
2023/9/18, 40, 40, 9, 19, , 5
2023/9/19, 57, 32, 40, , , 1
2023/9/20, 58, 27, 36, , , 1
2023/9/21, 51, 35, 36, 23, , 2
2023/9/22, 57, 37, 38, 24, , 1
2023/9/23, 54, 35, 38, 16, , 1
2023/9/24, 55, 20, 20, 12, , 
2023/9/26, 41, 37, 24, 16, , 3
2023/9/27, 51, 30, 29, 13, , 3
2023/9/28, 46, 37, 24, 18, , 3
2023/9/29, 54, 36, 36, 13, , 2
2023/9/30, 65, 22, 30, 7, , 1
2023/4/1, 44, 27, 19, 17, , 2
2023/4/2, 55, 31, 8, 23, , 3
2023/4/3, 54, 33, , 15, , 1
2023/4/4, 44, 31, , 12, , 2
2023/4/5, 42, 34, , 9, , 
2023/4/6, 32, 49, , 11, , 1
2023/4/7, 27, 72, , 25, , 2
2023/4/8, 54, 95, , 24, , 2
2023/4/9, 77, 76, , 23, , 4
2023/4/10, 69, , 44, 29, , 4
2023/4/11, 87, , 51, 29, 1, 4
2023/4/12, 90, , 49, 17, , 2
2023/4/13, 53, 43, 31, 7, , 
2023/4/14, 27, 38, 32, 13, , 1
2023/4/15, 34, 47, 38, 28, 1, 1
2023/4/16, 51, 57, 16, 29, 1, 2
2023/4/17, 70, 50, 23, 19, , 3
2023/4/18, 62, 35, 44, 14, , 
2023/4/19, 50, 39, 50, 17, , 5
2023/4/20, 48, 27, 43, 17, , 2
2023/4/21, 27, 39, 42, 15, , 5
2023/4/22, 34, 90, 42, 22, 4, 14
2023/4/23, 74, 47, 49, 19, , 3
2023/4/24, 62, 51, 13, 21, , 4
2023/4/25, 54, 23, , 14, , 2
2023/4/26, 29, 46, 43, 15, , 4
2023/4/27, 40, 29, 20, , , 4
2023/4/29, 25, 42, , 15, 1, 6
