date, pm25, pm10, o3, no2, so2, co
2023/12/1, 37, 20, , 20, , 4
2023/12/2, 53, 14, , 16, , 2
2023/12/3, 43, 12, , 14, , 2
2023/12/4, 37, 13, , 16, , 4
2023/12/5, 36, 12, , 15, , 2
2023/12/6, 34, 16, , 12, , 3
2023/12/7, 46, 13, , 8, , 1
2023/12/8, 37, 12, , 7, , 1
2023/12/9, 36, 12, , 7, 3, 1
2023/12/10, 35, 10, , 8, 2, 1
2023/12/11, 20, 10, , 7, , 1
2023/12/12, 14, 30, , 6, , 
2023/12/13, 35, 50, , 7, 1, 1
2023/12/14, 47, 37, , 8, , 1
2023/12/15, 47, 16, , 8, , 2
2023/12/16, 28, 7, , 8, , 1
2023/12/17, 12, 10, , 11, , 2
2023/12/18, 12, 5, , 8, , 1
2023/12/19, 7, , , , , 
2023/11/1, 45, 12, , 15, 2, 3
2023/11/2, 26, 10, , 11, 1, 1
2023/11/3, 9, 15, , 11, , 3
2023/11/4, 24, 18, , 7, 1, 2
2023/11/5, 30, 12, , 10, 1, 
2023/11/6, 17, 11, , 14, 10, 2
2023/11/7, 15, 19, , 14, 7, 2
2023/11/8, 23, 29, , 18, 7, 3
2023/11/9, 32, 27, , 16, , 2
2023/11/10, 29, 26, , 15, , 1
2023/11/11, 38, 8, , 7, , 1
2023/11/12, 15, 7, , 8, 4, 1
2023/11/13, 11, 6, , 11, 1, 1
2023/11/14, 9, 30, , 18, 1, 5
2023/11/15, 46, 20, , 12, , 3
2023/11/16, 28, 7, , 8, , 1
2023/11/17, 11, 23, , 22, 1, 4
2023/11/18, 40, 27, , 20, , 4
2023/11/19, 51, 15, , 12, 2, 2
2023/11/20, 29, 11, , 12, 1, 1
2023/11/21, 19, 8, , 14, , 2
2023/11/22, 14, , , , , 
2023/11/28, 42, 13, , 15, , 1
2023/11/29, 31, 9, , 10, , 2
2023/11/30, 19, 14, , 15, , 1
2023/10/11, 30, 17, , 17, 2, 3
2023/10/12, 37, 16, , 15, , 2
2023/10/13, 25, 21, , 24, 2, 1
2023/10/14, 40, 16, , 21, 1, 2
2023/10/15, 36, 12, , 22, 1, 2
2023/10/16, 28, 9, , 14, 1, 1
2023/10/17, 19, 7, , 15, 1, 2
2023/10/18, 17, 9, , 17, 1, 3
2023/10/19, 25, 10, , 14, , 3
2023/10/20, 28, 14, , 9, 1, 4
2023/10/21, 27, 25, , 13, 2, 5
2023/10/22, 45, 7, , 9, 1, 3
2023/10/23, 22, 7, , 9, 1, 1
2023/10/24, 20, 9, , 9, 1, 1
2023/10/25, 15, 8, , 8, 1, 2
2023/10/26, 11, 5, , 10, , 2
2023/10/27, 15, 4, , 8, , 1
2023/10/28, 14, 5, , 8, 1, 1
2023/10/29, 20, 25, , 18, 1, 9
2023/10/30, 60, 16, , 17, 2, 5
2023/10/31, 41, 27, , 17, , 3
2023/7/1, 48, 18, , 16, 1, 2
2023/7/2, 46, 25, , 21, 1, 3
2023/7/3, 45, 29, , 27, 1, 4
2023/7/4, 46, 39, , 31, 1, 5
2023/7/5, 63, 32, , 29, 1, 4
2023/7/6, 61, 31, , 24, 1, 4
2023/7/7, 62, 20, , 19, 1, 4
2023/7/8, 53, 20, , 16, 1, 7
2023/7/9, 43, 13, , 9, 1, 2
2023/7/10, 28, 8, , 9, 1, 2
2023/7/11, 20, 12, , 15, 1, 1
2023/7/12, 30, 12, , 25, 1, 3
2023/7/13, 36, 12, , 17, 1, 3
2023/7/14, 37, 13, , 14, 1, 4
2023/7/15, 37, 16, , 14, 1, 2
2023/7/16, 47, 26, , 25, 1, 3
2023/7/17, 59, 35, , 32, 1, 5
2023/7/18, 68, 8, , 15, 1, 1
2023/7/19, 21, 10, , 21, 1, 2
2023/7/20, 22, 15, , 31, 1, 2
2023/7/21, 29, 12, , 27, 1, 2
2023/7/22, 23, 23, , 43, 2, 3
2023/7/23, 55, 14, , 35, 1, 2
2023/7/24, 45, 25, , 28, 1, 3
2023/7/25, 60, 24, , 26, 1, 3
2023/7/26, 63, 20, , 24, 1, 4
2023/7/27, 51, 20, , 34, 2, 6
2023/7/28, 53, 9, , 27, 1, 4
2023/7/29, 31, 15, , 27, 2, 4
2023/7/30, 39, 23, , 38, 2, 5
2023/7/31, 40, 35, , 28, 1, 11
2023/8/1, 63, 33, , 32, , 6
2023/8/2, 74, 30, , 31, , 5
2023/8/3, 66, 26, , 35, , 5
2023/8/4, 58, 26, , 39, , 6
2023/8/5, 43, 41, , 33, , 6
2023/8/6, 67, 33, , 15, , 4
2023/8/7, 48, 29, , 12, , 3
2023/8/8, 52, 16, , , , 3
2023/8/9, 31, 19, , , 1, 3
2023/8/10, 39, 26, , , 1, 5
2023/8/11, 62, 27, , , 1, 4
2023/8/12, 65, 20, , , 1, 2
2023/8/13, 53, 15, , , 1, 3
2023/8/14, 43, 22, , , 1, 4
2023/8/15, 59, , , , , 
2023/9/8, 20, 14, , , , 
2023/9/9, 30, 31, , , , 
2023/9/10, 63, 36, , , , 
2023/9/11, 66, 31, , 16, 1, 4
2023/9/12, 55, 33, , 19, 1, 8
2023/9/13, 56, 34, , 20, 2, 4
2023/9/14, 48, 37, , 22, 1, 4
2023/9/15, 58, 15, , 16, 1, 4
2023/9/16, 33, 26, , 16, 3, 7
2023/9/17, 46, 23, , 21, 2, 12
2023/9/18, 46, 38, , 17, 2, 8
2023/9/19, 59, 44, , 24, 4, 2
2023/9/20, 60, 35, , 20, 1, 4
2023/9/21, 56, 48, , 21, 2, 6
2023/9/22, 65, 44, , 19, 1, 3
2023/9/23, 55, 44, , 17, 1, 1
2023/9/24, 56, 17, , 17, 2, 1
2023/9/25, 34, , , 23, 1, 4
2023/9/27, 56, 34, , 26, 1, 6
2023/9/28, 57, 22, , 30, 1, 4
2023/9/29, 43, , , 38, 1, 7
2023/4/1, 66, 32, , 12, 1, 3
2023/4/2, 67, 44, , 23, 1, 5
2023/4/3, 74, 39, , 21, 2, 5
2023/4/4, 69, 39, , 15, 3, 4
2023/4/5, 64, 34, , 9, 2, 2
2023/4/6, 44, 38, , 12, 3, 2
2023/4/7, 38, 33, , 16, 2, 2
2023/4/8, 55, , , , , 
2023/4/11, 116, 79, , 31, 2, 8
2023/4/12, 116, 59, , 29, 2, 5
2023/4/13, 107, 31, , 10, 2, 4
2023/4/14, 35, 26, , 8, 1, 2
2023/4/15, 34, 38, , 14, 3, 3
